市場名,水産,青果,食肉,花き,備考
豊洲市場,○,○,,,
食肉市場,,,○,,
大田市場,○,○,,○,
豊島市場,,○,,,
淀橋市場,,○,,,
足立市場,○,,,,
板橋市場,,○,,○,
世田谷市場,,○,,○,
北足立市場,,○,,○,
多摩NT市場,,○,,,
葛西市場,,○,,○,
,,,,,※東京都中央卸売市場条例に定める各部類ごとの取扱品目は以下のとおりである。
,,,,,水産：生鮮水産物、海そう及びこれらの加工品並びに規則で定めるその他の食料品
,,,,,青果：野菜、果実及びこれらの加工品並びに規則で定めるその他の食料品
,,,,,食肉：肉類及びこれらの加工品並びに規則で定めるその他の食料品
,,,,,花き：花き
