年度,総数,23区,多摩,都外,備考
S45,235,186,2,47,
S48,226,160,6,59,
S51,218,155,5,57,
S54,243,181,7,54,
S58,312,244,8,60,
S61,258,176,3,79,
H01,187,122,6,59,
H04,306,224,11,71,
H07,245,157,10,79,
H10,235,159,2,73,
H13,272,162,5,106,
H16,387,218,13,154,
H21,421,179,2,233,
,,,,,単位：トン
