市場,種別,総数,大型トラック(積載量６トン以上),大型トラック(積載量６トン以上)比率（％）,中型トラック(積載量４～６トン未満),中型トラック(積載量４～６トン未満)比率（％）,小型トラック(積載量２～４トン未満),小型トラック(積載量２～４トン未満)比率（％）,積載量２トン未満の小型トラック,積載量２トン未満の小型トラック比率（％）,軽自動車(貨物用),軽自動車(貨物用)比率（％）,ライトバン・ワゴン車,ライトバン・ワゴン車比率（％）,乗用車,乗用車比率（％）,オートバイ自転車・小型特殊車,オートバイ自転車・小型特殊車比率（％）,鉄道・地下鉄バス,鉄道・地下鉄バス比率（％）,徒歩,徒歩比率（％）,不明,不明比率（％）,項目名,備考
築地,,3768272,805942,21.4,1053152,27.9,1268353,33.7,292159,7.8,74670,2.0,226188,6.0,2819,0.1,12437,0.3,1176,0.0,111,0.0,31266,0.8,築地市場,
築地,水産物,2396092,591697,24.7,731598,30.5,802948,33.5,141943,5.9,34443,1.4,57465,2.4,2124,0.1,6778,0.3,1051,0.0,90,0.0,25957,1.1,水産物,
築地,青果物,1372180,214245,15.6,321554,23.4,465405,33.9,150216,10.9,40227,2.9,168723,12.3,695,0.1,5659,0.4,125,0.0,21,0.0,5309,0.4,青果物,
大田,,4355982,496436,11.4,1942971,44.6,1511700,34.7,131096,3.0,45644,1.0,202340,4.6,4887,0.1,1377,0.0,0,0.0,19,0.0,19512,0.4,大田市場,
大田,水産物,56202,712,1.3,20572,36.6,25562,45.5,2337,4.2,3885,6.9,1801,3.2,182,0.3,815,1.4,0,0.0,3,0.0,332,0.6,水産物,
大田,青果物,4299780,495724,11.5,1922399,44.7,1486138,34.6,128759,3.0,41759,1.0,200539,4.7,4705,0.1,562,0.0,0,0.0,16,0.0,19180,0.4,青果物,
豊島,,539600,198300,36.7,163414,30.3,91193,16.9,29198,5.4,30243,5.6,24734,4.6,1727,0.3,102,0.0,0,0.0,0,0.0,690,0.1,豊島市場,
淀橋,,1094553,267758,24.5,274742,25.1,270426,24.7,127362,11.6,37959,3.5,104791,9.6,435,0.0,17,0.0,0,0.0,0,0.0,11063,1.0,淀橋市場,
足立,,112689,1299,1.2,26974,23.9,56561,50.2,10509,9.3,7301,6.5,7795,6.9,1923,1.7,305,0.3,0,0.0,21,0.0,1,0.0,足立市場,
板橋,,634200,78972,12.5,256890,40.5,169720,26.8,62129,9.8,9859,1.6,55356,8.7,474,0.1,800,0.1,0,0.0,0,0.0,0,0.0,板橋市場,
世田谷,,256231,7244,2.8,16299,6.4,122816,47.9,55436,21.6,12301,4.8,42134,16.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,世田谷市場,
北足立,,857500,82812,9.7,403398,47.0,279981,32.7,38691,4.5,13975,1.6,35962,4.2,122,0.0,0,0.0,0,0.0,0,0.0,2561,0.3,北足立市場,
多摩NT,,57197,5673,9.9,32111,56.1,8735,15.3,5844,10.2,1900,3.3,1863,3.3,0,0.0,0,0.0,0,0.0,0,0.0,1070,1.9,多摩NT市場,
葛西,,601300,52205,8.7,222652,37.0,175473,29.2,76481,12.7,19820,3.3,47823,8.0,3512,0.6,0,0.0,0,0.0,0,0.0,3334,0.6,葛西市場,
,水産物計,2564983,593708,23.1,779144,30.4,885071,34.5,154789,6.0,45629,1.8,67061,2.6,4229,0.2,7898,0.3,1051,0.0,114,0.0,26290,1.0,水産物計,
,青果物計,9712541,1402933,14.4,3613459,37.2,3069887,31.6,674116,6.9,208043,2.1,681925,7.0,11670,0.1,7140,0.1,125,0.0,37,0.0,43207,0.4,青果物計,
食肉,,421269,58757,13.9,191732,45.5,153109,36.3,16549,3.9,459,0.1,107,0.0,0,0.0,0,0.0,0,0.0,0,0.0,555,0.1,食肉市場,
,畜産物計,421269,58757,13.9,191732,45.5,153109,36.3,16549,3.9,459,0.1,107,0.0,0,0.0,0,0.0,0,0.0,0,0.0,555,0.1,畜産物計,
大田,切花,3656666,453244,12.4,1711806,46.8,1077646,29.5,148312,4.1,43951,1.2,208133,5.7,10114,0.3,0,0.0,0,0.0,0,0.0,3462,0.1,大田市場,
板橋,切花,740368,19891,2.7,48271,6.5,90503,12.2,144753,19.6,148844,20.1,233473,31.5,50165,6.8,1846,0.2,2621,0.4,0,0.0,0,0.0,板橋市場,
北足立,切花,817203,0,0.0,413304,50.6,273300,33.4,20218,2.5,28240,3.5,71874,8.8,7107,0.9,0,0.0,0,0.0,0,0.0,3160,0.4,北足立市場,
葛西,切花,585754,0,0.0,156984,26.8,173663,29.6,103594,17.7,34149,5.8,106276,18.1,10151,1.7,0,0.0,0,0.0,0,0.0,937,0.2,葛西市場,
世田谷,切花,801954,0,0.0,175677,21.9,126793,15.8,97062,12.1,30220,3.8,362216,45.2,6977,0.9,0,0.0,0,0.0,0,0.0,3010,0.4,世田谷市場,
,切花計,6601945,473135,7.2,2506042,38.0,1741905,26.4,513939,7.8,285404,4.3,981972,14.9,84514,1.3,1846,0.0,2621,0.0,0,0.0,10569,0.2,切花計,
大田,鉢物,397293,51586,13.0,148507,37.4,123215,31.0,17919,4.5,10029,2.5,31634,8.0,101,0.0,51,0.0,0,0.0,0,0.0,14252,3.6,大田市場,
板橋,鉢物,39665,229,0.6,0,0.0,8976,22.6,5095,12.8,8684,21.9,13627,34.4,3054,7.7,0,0.0,0,0.0,0,0.0,0,0.0,板橋市場,
北足立,鉢物,66031,0,0.0,31311,47.4,17567,26.6,3117,4.7,5347,8.1,8683,13.1,6,0.0,0,0.0,0,0.0,0,0.0,0,0.0,北足立市場,
