部類,長くなった業者(％),短くなった業者(％),不明(％)
全体,46.1,49.1,4.8
水産物部,45.0,49.0,6.0
青果部,49.1,48.2,2.7
花き部,39.1,58.5,2.4
食肉部,50.0,46.2,3.8
