順位,鮮魚・冷凍魚類,取扱量（約、トン）
第1位,冷凍めばち,30800
第2位,冷凍ぎんさけ,25400
第3位,まあじ,19300
第4位,さんま,17300
第5位,すいめいか,12400
第6位,かつお,12000
第7位,さば,10200
第8位,はまち（養殖）,9100
第9位,冷凍たこ,8800
第10位,またい（養殖）,7500
