事項,27年度,26年度,前期比(％)
総資産(万円),1952508,1715014,113.85
負債(万円),1061857,843297,125.92
純資産(万円),890650,871717,102.17
自己資本比率(％),45.62,50.83,
流動比率(％),158.83,184.64,
