区分,種類,合計,第一花き,大田花き,フラワーオークションジャパン,東日本板橋花き,東京フラワーポート,世田谷花き,東京砧花き園芸市場,
受託物品,切花(千円),56695160,6233009,24081470,7679312,6081102,5145464,7474803,0,
受託物品,鉢物(千円),15563586,972943,1585934,6062660,560481,1541084,82306,4758178,
受託物品,その他(千円),10168574,887961,2277961,4832502,677431,804419,688300,0,
受託物品,当年度計（Ａ）(千円),82427320,8093913,27945365,18574474,7319014,7490967,8245409,4758178,
受託物品,前年度計（Ｂ）(千円),83421869,8009184,27098003,20702716,7195054,7658985,8228291,4529636,
受託物品,前年対比（Ａ/Ｂ）(％),98.81,101.06,103.13,89.72,101.72,97.81,100.21,105.05,
買付物品,切花(千円),4828916,130109,395689,3901326,124537,168535,108720,0,
買付物品,鉢物(千円),951121,4644,55229,291160,420,599668,0,0,
買付物品,その他(千円),442818,14778,60523,314012,862,44671,7972,0,
買付物品,当年度計（Ａ）(千円),6222855,149531,511441,4506498,125819,812874,116692,0,
買付物品,前年度計（Ｂ）(千円),3706527,164057,426195,2199691,66279,752693,97612,0,
買付物品,前年対比（Ａ/Ｂ）(％),167.89,91.15,120,204.87,189.83,108,119.55,,
合計,切花(千円),61524076,6363118,24477159,11580638,6205639,5313999,7583523,0,
合計,鉢物(千円),16514707,977587,1641163,6353820,560901,2140752,82306,4758178,
合計,その他(千円),10611392,902739,2338484,5146514,678293,849090,696272,0,
合計,当年度計（Ａ）(千円),88650175,8243444,28456806,23080972,7444833,8303841,8362101,4758178,
合計,前年度計（Ｂ）(千円),87128396,8173241,27524198,22902407,7261333,8411678,8325903,4529636,
合計,前年対比（Ａ/Ｂ）(％),101.75,100.86,103.39,100.78,102.53,98.72,100.43,105.05,
構成比,受託物品(％),92.98,98.19,98.2,80.48,98.31,90.21,98.6,100,
構成比,買付物品(％),7.02,1.81,1.8,19.52,1.69,9.79,1.4,0,
構成比,合計(％),100,100,100,100,100,100,100,100,
,,,,,,,,,,（注）消費税込み
