資産の部,資産の部(千円),負債及び純資産の部,負債及び純資産の部(千円)
(1)流動資産,33968892,(1)流動負債,11058734
現金,401129,受託販売未払金,2898266
預金,22149009,支払手形（受託）,0
売掛金,8452016,荷主預り金,15012
受取手形,0,（小計）,2913278
有価証券,1261253,買掛金（買付）,4057807
親会社株式,0,支払手形（買付）,0
商品,485699,預り金（買付）,60189
貯蔵品,9944,（小計）,4117996
前渡金,0,買掛金（その他）,0
荷主前渡金,232011,支払手形（その他）,0
前払費用,238045,短期借入金,337492
未収収益,39144,未払金,888603
立替金,118134,未払税金,1078382
短期貸付金,291086,未払費用,740069
未収金,41474,前受金,1338
仮払金,31892,預り金（その他）,363539
繰延税金資産,222715,前受収益,39922
その他,59961,仮受金,0
,,繰延税金負債,0
貸倒引当金,-64620,賞与引当金,507903
,,その他,70212
(2)固定資産,28496143,(2)固定負債,5960222
１有形固定資産,14057579,長期借入金,908866
建物・設備等,18250698,預り保証金,804596
土地,7539951,長期繰延税金負債,342750
建設仮勘定,0,退職給付引当金,2971491
減価償却累計額,-11733070,役員退職慰労引当金,782358
２無形固定資産,1050701,その他,150161
３投資その他の資産,13387863,,
投資有価証券,8122855,負債合計,17018956
子会社株式,1600997,,
出資金,366180,(1)株主資本,44060027
子会社出資金,0,１資本金,2555600
長期貸付金,2236341,２新株式申込証拠金0,
開設者預託保証金,123500,３資本剰余金,1973085
定期預金,100000,資本準備金,1973085
長期前払費用,48879,その他資本剰余金,0
事業者保険料,114480,４利益剰余金,39644504
長期繰延税金資産,506282,利益準備金,373900
その他,532487,その他利益剰余金,39270604
,,（うち繰越利益剰余金）,6175154
貸倒引当金,-364138,（うち当期純利益）,2369758
,,５自己株式,-113162
(3)繰延資産,0,６自己株式申込証拠金,0
,,(2)評価・換算差額等,1386052
,,(3)新株予約権,0
,,純資産合計,45446079
資産合計,62465035,負債及び純資産合計,62465035
,,自己資本比率(％),72.8
,,流動比率(％),307.2
