部類,増加した業者(％),維持した業者(％),減少した業者(％),不明(％),備考
全体,41.3,14.1,39.8,4.8,
水産物部,37.8,14.7,41.5,6.0,
青果部,46.8,13.3,37.2,2.7,
花き部,51.2,9.8,36.6,2.4,
食肉部,46.2,15.4,34.6,3.8,
,,,,,※維持は、前年比１％未満の増加及び減少。
