区分,総数,鮮魚,活魚類,貝類,冷凍魚,淡水魚,海そう類,加工品
総数数量(kg),434290441,148631488,15082804,28295985,87810256,1375633,8022892,145071383
総数金額(円),454698901227,157211514389,21175666710,34934044263,106686828792,2646919697,3963458740,128080468636
築地市場総数数量(kg),409866591,142798369,12727736,26530470,82922335,1313172,7595711,135978798
築地市場総数金額(円),429211681478,149939352541,18197178193,33006016812,100945989164,2539884197,3725861650,120857398921
築地市場大都魚類数量(kg),72480490,29551888,2966105,6514966,20919986,189876,567246,11770423
築地市場大都魚類金額(円),77794120351,30691680929,4094244123,7791352480,22862738622,483825748,286425787,11583852662
築地市場中央魚類数量(kg),94190058,41006845,3060709,5355977,25145906,192685,1112691,18315245
築地市場中央魚類金額(円),106957054546,39513797113,4527669471,8328084107,33664339918,409271762,649161992,19864730183
築地市場東都水産数量(kg),64865001,28203424,2600134,5160832,14349398,284015,508582,13758616
築地市場東都水産金額(円),76349558495,30599951919,3698128853,5950110992,18919234180,532633951,296231686,16353266914
築地市場築地魚市場数量(kg),65500728,28568530,2597919,3507220,11804927,424022,1129204,17468906
築地市場築地魚市場金額(円),68149522614,29483974293,3595896167,4890685910,13639296946,793318523,690048694,15056302081
築地市場第一水産数量(kg),40817879,15466387,1502869,5764757,6615092,222251,769807,10476716
築地市場第一水産金額(円),46546898119,19648999777,2281239579,5826089941,7930691945,320471171,320915752,10218489954
築地市場丸千千代田水産数量(kg),65605788,0,0,97747,3066958,0,3487262,58953821
築地市場丸千千代田水産金額(円),46217800548,0,0,127011783,3091307221,0,1464321619,41535159925
築地市場綜合食品数量(kg),6406647,1295,0,128971,1020068,323,20919,5235071
築地市場綜合食品金額(円),7196726805,948510,0,92681599,838380332,363042,18756120,6245597202
足立市場総数数量(kg),16831169,3852992,1123847,1205347,4021034,48812,311163,6267974
足立市場総数金額(円),16941729291,4213649567,1356536202,1403677754,4487448084,83547830,166083040,5230786814
足立市場東京北魚数量(kg),12000496,2308628,998413,784317,2638926,42389,205353,5022470
足立市場東京北魚金額(円),11406116062,2535310585,1181455907,938822672,2798609212,74778939,115794722,3761344025
足立市場大都魚類･千住数量(kg),4830673,1544364,125434,421030,1382108,6423,105810,1245504
足立市場大都魚類･千住金額(円),5535613229,1678338982,175080295,464855082,1688838872,8768891,50288318,1469442789
大田市場総数数量(kg),7592681,1980127,1231221,560168,866887,13649,116018,2824611
大田市場総数金額(円),8545490458,3058512281,1621952315,524349697,1253391544,23487670,71514050,1992282901
大田市場大都魚類･大田数量(kg),7592681,1980127,1231221,560168,866887,13649,116018,2824611
大田市場大都魚類･大田金額(円),8545490458,3058512281,1621952315,524349697,1253391544,23487670,71514050,1992282901
部類別平均価格(円),1047,1058,1404,1235,1215,1924,494,883
