地域,合計搬出量,合計搬出量構成比（％）,合計台(人)数,合計台(人)数成比（％）,専門小売店搬出量,専門小売店構成比（％）,専門小売店台(人)数,専門小売店台(人)数成比（％）,食料品等中心店搬出量,食料品等中心店構成比（％）,食料品等中心店台(人)数,食料品等中心店台(人)数成比（％）,コンビニエンスストア搬出量,コンビニエンスストア構成比（％）,コンビニエンスストア台(人)数,コンビニエンスストア台(人)数成比（％）,食料品スーパー搬出量,食料品スーパー構成比（％）,食料品スーパー台(人)数,食料品スーパー台(人)数成比（％）,総合スーパー搬出量,総合スーパー構成比（％）,総合スーパー台(人)数,総合スーパー台(人)数成比（％）,百貨店搬出量,百貨店構成比（％）,百貨店台(人)数,百貨店台(人)数成比（％）,業務用搬出量,業務用構成比（％）,業務用台(人)数,業務用台(人)数成比（％）,加工業者搬出量,加工業者構成比（％）,加工業者台(人)数,加工業者台(人)数成比（％）,問屋・納入業者搬出量,問屋・納入業者構成比（％）,問屋・納入業者台(人)数,問屋・納入業者台(人)数成比（％）,都内中央卸売市場搬出量,都内中央卸売市場構成比（％）,都内中央卸売市場台(人)数,都内中央卸売市場台(人)数成比（％）,都内地方卸売市場搬出量,都内地方卸売市場構成比（％）,都内地方卸売市場台(人)数,都内地方卸売市場台(人)数成比（％）,都外中央卸売市場搬出量,都外中央卸売市場構成比（％）,都外中央卸売市場台(人)数,都外中央卸売市場台(人)数成比（％）,都外地方卸売市場搬出量,都外地方卸売市場構成比（％）,都外地方卸売市場台(人)数,都外地方卸売市場台(人)数成比（％）,その他搬出量,その他構成比（％）,その他台(人)数,その他台(人)数成比（％）,不明搬出量,不明構成比（％）,不明台(人)数,不明台(人)数成比（％）,備考
合計,2396092,100.0,3342,100.0,329750,100.0,632,100.0,62286,100.0,175,100.0,4026,100.0,5,100.0,330056,100.0,394,100.0,163381,100.0,142,100.0,80742,100.0,167,100.0,240444,100.0,1128,100.0,42174,100.0,55,100.0,102949,100.0,145,100.0,77863,100.0,34,100.0,28450,100.0,29,100.0,341224,100.0,110,100.0,239782,100.0,102,100.0,331074,100.0,186,100.0,21890,100.0,38,100.0,
都内計,981704,41.0,2414,72.2,160355,48.6,497,78.6,43164,69.3,152,86.9,2379,59.1,4,80.0,152035,85.2,272,46.1,74600,69.0,82,45.7,46037,57.7,124,57.0,159918,74.3,961,66.5,13566,32.2,38,69.1,39888,38.7,90,62.1,70493,90.5,31,91.2,27352,96.1,28,96.6,2196,0.6,2,1.8,6061,2.5,5,4.9,175008,52.9,111,59.7,8652,39.5,17,44.7,
23区計,826284,34.5,2123,63.5,134727,40.9,425,67.2,34442,55.3,135,77.1,1318,32.7,2,40.0,124935,78.8,231,37.9,44282,58.6,56,27.1,35011,39.4,104,43.4,140609,62.3,889,58.5,13369,31.7,33,60.0,33937,33.0,77,53.1,69395,89.1,30,88.2,21094,74.1,19,65.5,1098,0.3,1,0.9,5490,2.3,2,2.0,160726,48.5,105,56.5,5852,26.7,14,36.8,
千代田区,14260,0.6,129,3.9,6362,1.9,25,4.0,396,0.6,10,5.7,0,0.0,0,0.0,486,5.6,11,0.1,371,2.8,3,0.2,254,2.1,4,0.3,5257,2.4,63,2.2,20,0.0,1,1.8,123,0.1,3,2.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,990,0.3,9,4.8,0,0.0,0,0.0,
中央区,126539,5.3,286,8.6,5429,1.6,34,5.4,2426,3.9,8,4.6,0,0.0,0,0.0,8016,13.8,11,2.4,0,2.8,0,0.0,6862,0.0,6,8.5,20897,3.6,156,8.7,1345,3.2,4,7.3,18479,17.9,27,18.6,27450,35.3,7,20.6,5,0.0,1,3.4,0,0.0,0,0.0,3294,1.4,1,1.0,31886,9.6,27,14.5,450,2.1,4,10.5,
港区,34449,1.4,180,5.4,2455,0.7,19,3.0,3277,5.3,9,5.1,0,0.0,0,0.0,11236,10.8,16,3.4,0,4.1,0,0.0,760,0.0,6,0.9,16277,3.6,122,6.8,0,0.0,0,0.0,417,0.4,7,4.8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,27,0.0,1,0.5,0,0.0,0,0.0,
新宿区,27364,1.1,142,4.2,4916,1.5,26,4.1,764,1.2,7,4.0,0,0.0,0,0.0,3079,6.3,14,0.9,878,3.6,2,0.5,6762,1.4,11,8.4,9283,6.6,71,3.9,110,0.3,1,1.8,1259,1.2,7,4.8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,225,0.1,2,1.1,88,0.4,1,2.6,
文京区,9302,0.4,80,2.4,1595,0.5,19,3.0,1850,3.0,10,5.7,0,0.0,0,0.0,352,2.4,8,0.1,73,2.0,3,0.0,284,2.1,4,0.4,3683,2.4,27,1.5,1149,2.7,3,5.5,55,0.1,2,1.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,262,0.1,4,2.2,0,0.0,0,0.0,
台東区,39128,1.6,85,2.5,6319,1.9,18,2.8,3339,5.4,8,4.6,0,0.0,0,0.0,13254,2.8,12,4.0,3096,3.0,3,1.9,1153,2.1,3,1.4,7485,1.8,32,3.1,11,0.0,1,1.8,2068,2.0,5,3.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2196,0.9,1,1.0,110,0.0,1,0.5,99,0.5,1,2.6,
墨田区,9271,0.4,46,1.4,2156,0.7,11,1.7,827,1.3,3,1.7,0,0.0,0,0.0,2710,1.4,5,0.8,1448,1.3,4,0.9,604,2.8,2,0.7,749,1.2,16,0.3,569,1.3,2,3.6,209,0.2,3,2.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,
江東区,140562,5.9,134,4.0,2671,0.8,16,2.5,1492,2.4,7,4.0,220,5.5,1,20.0,5890,5.4,12,1.8,2525,3.0,3,1.5,549,2.1,1,0.7,8364,0.6,61,3.5,115,0.3,1,1.8,1905,1.9,5,3.4,1757,2.3,2,5.9,220,0.8,1,3.4,0,0.0,0,0.0,0,0.0,0,0.0,114854,34.7,24,12.9,0,0.0,0,0.0,
品川区,24745,1.0,83,2.5,6642,2.0,24,3.8,239,0.4,3,1.7,0,0.0,0,0.0,4028,2.8,7,1.2,2251,1.8,2,1.4,361,1.4,6,0.4,7033,3.6,32,2.9,274,0.7,2,3.6,947,0.9,3,2.1,0,0.0,0,0.0,1867,6.6,1,3.4,1098,0.3,1,0.9,0,0.0,0,0.0,7,0.0,2,1.1,0,0.0,0,0.0,
目黒区,15820,0.7,71,2.1,4361,1.3,16,2.5,2341,3.8,9,5.1,0,0.0,0,0.0,1734,2.1,8,0.5,3623,2.0,5,2.2,329,3.5,7,0.4,2882,4.2,24,1.2,274,0.7,1,1.8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,274,0.1,1,0.5,0,0.0,0,0.0,
大田区,41578,1.7,94,2.8,7465,2.3,20,3.2,242,0.4,4,2.3,0,0.0,0,0.0,8871,2.2,14,2.7,769,3.6,2,0.5,778,1.4,4,1.0,4254,2.4,25,1.8,329,0.8,2,3.6,2446,2.4,5,3.4,8347,10.7,6,17.6,3597,12.6,6,20.7,0,0.0,0,0.0,0,0.0,0,0.0,4447,1.3,5,2.7,33,0.2,1,2.6,
世田谷区,39739,1.7,82,2.5,6657,2.0,19,3.0,3222,5.2,9,5.1,1098,27.3,1,20.0,12819,2.4,13,3.9,1427,3.3,2,0.9,668,1.4,5,0.8,12027,3.0,27,5.0,1125,2.7,2,3.6,0,0.0,0,0.0,549,0.7,1,2.9,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,36,0.0,2,1.1,110,0.5,1,2.6,
渋谷区,37075,1.5,107,3.2,11062,3.4,21,3.3,1613,2.6,9,5.1,0,0.0,0,0.0,7479,4.7,12,2.3,2221,3.0,2,1.4,3441,1.4,5,4.3,9639,3.0,53,4.0,0,0.0,0,0.0,823,0.8,1,0.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,665,0.2,3,1.6,132,0.6,1,2.6,
中野区,11038,0.5,51,1.5,4594,1.4,14,2.2,1174,1.9,4,2.3,0,0.0,0,0.0,2336,1.5,9,0.7,549,2.3,1,0.3,64,0.7,3,0.1,1984,1.8,17,0.8,0,0.0,0,0.0,62,0.1,1,0.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,274,0.1,2,1.1,0,0.0,0,0.0,
杉並区,15426,0.6,67,2.0,3852,1.2,21,3.3,1400,2.2,3,1.7,0,0.0,0,0.0,2463,2.2,7,0.7,1504,1.8,3,0.9,2480,2.1,5,3.1,3392,3.0,25,1.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,335,0.1,3,1.6,0,0.0,0,0.0,
豊島区,49426,2.1,97,2.9,13357,4.1,20,3.2,391,0.6,6,3.4,0,0.0,0,0.0,15641,3.0,19,4.7,681,4.8,3,0.4,4676,2.1,9,5.8,9169,5.4,34,3.8,549,1.3,1,1.8,16,0.0,1,0.7,0,0.0,0,0.0,2196,7.7,1,3.4,0,0.0,0,0.0,0,0.0,0,0.0,4,0.0,1,0.5,2745,12.5,2,5.3,
北区,14139,0.6,46,1.4,5587,1.7,11,1.7,2557,4.1,5,2.9,0,0.0,0,0.0,1909,1.3,4,0.6,141,1.0,2,0.1,329,1.4,2,0.4,1697,1.2,15,0.7,1678,4.0,4,7.3,44,0.0,1,0.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,196,0.1,2,1.1,0,0.0,0,0.0,
荒川区,8133,0.3,30,0.9,2430,0.7,9,1.4,242,0.4,3,1.7,0,0.0,0,0.0,988,0.8,2,0.3,22,0.5,1,0.0,0,0.7,0,0.0,520,0.0,9,0.2,1098,2.6,1,1.8,0,0.0,0,0.0,0,0.0,0,0.0,911,3.2,2,6.9,0,0.0,0,0.0,0,0.0,0,0.0,1921,0.6,3,1.6,0,0.0,0,0.0,
