年度,市場,廃棄物種類,発生量（ｔ）,比率（％）
19,築地,一般廃棄物（魚腸骨除く）,11493,46.4
19,築地,魚腸骨,6149,24.8
19,築地,発泡,3027,12.2
19,築地,産業廃棄物（発泡除く）,4124,16.6
19,築地,合計,24793,100
