地域,割合(％),搬出量(千鉢)
都内,27.6,
都内23区,21.9,
都内多摩,5.7,
首都圏,58.0,
首都圏埼玉,9.7,
首都圏千葉,16.3,
首都圏神奈川,32.0,
その他,13.4,
不明,1.0,
総数,100,759
