地域,割合(％),搬出量(トン)
都内,41.2,
都内23区,34.5,
都内多摩,6.7,
首都圏,37.2,
首都圏埼玉,9.8,
首都圏千葉,12.3,
首都圏神奈川,15.1,
その他,20.7,
不明,0.9,
総数,100,2565
