年,2010,2011,2012,2013,2014,2015,2016
訪日外国人旅行者消費額(兆円),1.1,0.8,1.1,1.4,2.0,3.5,2.9
訪都外国人旅行者消費額(兆円),0.5,0.3,0.4,0.6,0.8,1.1,
備考,,,,,,,1～9月
