地域／市場,合計,合計構成比（％）,大田市場,大田市場構成比（％）,板橋市場,板橋市場構成比（％）,北足立市場,北足立市場構成比（％）,葛西市場,葛西市場構成比（％）,世田谷市場,世田谷市場構成比（％）,備考,,,,,,,,
合計,6601945,100.0,3656666,100.0,740368,100.0,817203,100.0,585754,100.0,801954,100.0,,,,,,,,,
都内計,2463804,37.3,1052708,28.8,407327,55.0,286984,35.1,233649,39.9,483136,60.2,,,,,,,,,
23区計,2069763,31.4,872685,23.9,350412,47.3,286984,35.1,218288,37.3,341395,42.6,,,,,,,,,
千代田区,53091,0.8,21105,0.6,0,0.0,0,0.0,16300,2.8,15686,2.0,,,,,,,,,
中央区,89538,1.4,24576,0.7,744,0.1,51643,6.3,10770,1.8,1806,0.2,,,,,,,,,
港区,108388,1.6,70230,1.9,380,0.1,0,0.0,2474,0.4,35304,4.4,,,,,,,,,
新宿区,116773,1.8,73882,2.0,24252,3.3,791,0.1,6463,1.1,11385,1.4,,,,,,,,,
文京区,72163,1.1,35579,1.0,18411,2.5,9476,1.2,5059,0.9,3638,0.5,,,,,,,,,
台東区,64432,1.0,44736,1.2,3521,0.5,11213,1.4,4962,0.8,0,0.0,,,,,,,,,
墨田区,24389,0.4,5292,0.1,0,0.0,1581,0.2,17516,3.0,0,0.0,,,,,,,,,
江東区,52993,0.8,5884,0.2,744,0.1,4264,0.5,42102,7.2,0,0.0,,,,,,,,,
品川区,57459,0.9,50783,1.4,0,0.0,0,0.0,1029,0.2,5647,0.7,,,,,,,,,
目黒区,50249,0.8,21232,0.6,101,0.0,0,0.0,749,0.1,28167,3.5,,,,,,,,,
大田区,249545,3.8,173810,4.8,2327,0.3,38851,4.8,2807,0.5,31748,4.0,,,,,,,,,
世田谷区,218392,3.3,71276,1.9,7435,1.0,27009,3.3,3089,0.5,109583,13.7,,,,,,,,,
渋谷区,90740,1.4,41216,1.1,2685,0.4,0,0.0,1873,0.3,44966,5.6,,,,,,,,,
中野区,68940,1.0,24462,0.7,19579,2.6,11055,1.4,0,0.0,13844,1.7,,,,,,,,,
杉並区,58691,0.9,12548,0.3,26928,3.6,0,0.0,0,0.0,19215,2.4,,,,,,,,,
豊島区,73700,1.1,25440,0.7,37138,5.0,474,0.1,749,0.1,9898,1.2,,,,,,,,,
北区,54704,0.8,26047,0.7,27079,3.7,791,0.1,0,0.0,787,0.1,,,,,,,,,
荒川区,59310,0.9,8912,0.2,4967,0.7,40749,5.0,4682,0.8,0,0.0,,,,,,,,,
板橋区,141844,2.1,45774,1.3,87057,11.8,3476,0.4,2342,0.4,3195,0.4,,,,,,,,,
練馬区,95858,1.5,28808,0.8,56340,7.6,4738,0.6,0,0.0,5972,0.7,,,,,,,,,
足立区,106609,1.6,20334,0.6,21429,2.9,64846,7.9,0,0.0,0,0.0,,,,,,,,,
葛飾区,61753,0.9,30979,0.8,0,0.0,8446,1.0,22329,3.8,0,0.0,,,,,,,,,
江戸川区,100202,1.5,9779,0.3,9295,1.3,7582,0.9,72991,12.5,556,0.1,,,,,,,,,
多摩地区計,350973,5.3,165313,4.5,56916,7.7,0,0.0,1124,0.2,127621,15.9,,,,,,,,,
西多摩地域,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,,,
南多摩(1)地域,77949,1.2,66713,1.8,495,0.1,0,0.0,469,0.1,10272,1.3,,,,,,,,,
南多摩(2)地域,27561,0.4,7225,0.2,3718,0.5,0,0.0,0,0.0,16618,2.1,,,,,,,,,
北多摩西部(1)地域,7420,0.1,2424,0.1,0,0.0,0,0.0,0,0.0,4997,0.6,,,,,,,,,
北多摩西部(2)地域,12060,0.2,3635,0.1,0,0.0,0,0.0,469,0.1,7957,1.0,,,,,,,,,
北多摩西部(3)地域,35235,0.5,22495,0.6,2416,0.3,0,0.0,0,0.0,10323,1.3,,,,,,,,,
北多摩南部地域,135718,2.1,57196,1.6,9481,1.3,0,0.0,93,0.0,68947,8.6,,,,,,,,,
北多摩北部地域,53732,0.8,4327,0.1,40805,5.5,0,0.0,93,0.0,8507,1.1,,,,,,,,,
島しょ部,1297,0.0,1297,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,,,
都外計,4081457,61.8,2547627,69.7,332688,44.9,530219,64.9,352105,60.1,318818,39.8,,,,,,,,,
北海道,92441,1.4,53474,1.5,18714,2.5,4422,0.5,0,0.0,15832,2.0,,,,,,,,,
青森県,470682,7.1,469505,12.8,1177,0.2,0,0.0,0,0.0,0,0.0,,,,,,,,,
岩手県,28189,0.4,25352,0.7,310,0.0,2527,0.3,0,0.0,0,0.0,,,,,,,,,
宮城県,91812,1.4,90511,2.5,1301,0.2,0,0.0,0,0.0,0,0.0,,,,,,,,,
秋田県,8653,0.1,8653,0.2,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,,,
山形県,5970,0.1,5970,0.2,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,,,
