部類,50％未満業者数(社),50％未満業者割合(％),50％以上100％未満業者数(社),50％以上100％未満業者割合(％),100％以上150％未満業者数(社),100％以上150％未満業者割合(％),150％以上200％未満業者数(社),150％以上200％未満業者割合(％),200％以上業者数(社),200％以上業者割合(％)
全体,158,16.1,125,12.7,160,16.3,115,11.7,424,43.2
水産物部,134,21.8,71,11.6,97,15.8,63,10.3,249,40.5
青果部,21,7.0,43,14.3,47,15.6,40,13.3,150,49.8
花き部,3,7.3,8,19.5,10,24.4,8,19.5,12,29.3
食肉部,0,0.0,3,11.5,6,23.1,4,15.4,13,50.0
