区分,総数,切花(本),切葉(枚),切枝(束),鉢物計(鉢),鉢物鉢花(鉢),鉢物らん鉢(鉢),鉢物観葉植物(鉢),鉢物観賞樹(鉢),苗物(箱),その他花き(箱)
全市場数量,,99.0,99.5,101.4,96.7,95.7,94.9,97.0,100.5,96.3,91.4
全市場金額,101.0,101.0,101.0,103.9,100.9,95.7,98.9,109.6,105.0,101.8,76.1
北足立市場数量,,98.8,100.9,102.4,94.6,94.9,94.8,90.5,97.8,95.9,93.8
北足立市場金額,99.4,99.9,102.7,97.8,96.1,97.6,95.2,92.5,100.0,101.2,104.0
大田市場数量,,99.6,101.4,100.4,96.0,95.1,94.3,96.2,100.4,95.8,76.7
大田市場金額,101.3,101.9,102.7,105.1,100.0,97.9,98.3,101.5,106.8,100.0,66.4
板橋市場数量,,99.9,94.8,101.2,101.1,98.6,103.6,108.3,112.3,106.8,103.5
板橋市場金額,102.0,101.4,98.7,100.9,105.2,102.6,103.8,112.2,120.2,119.5,106.0
葛西市場数量,,95.7,95.4,96.2,95.0,95.4,83.8,95.6,94.3,92.8,93.0
葛西市場金額,98.7,96.6,91.5,96.6,103.5,83.4,95.4,149.7,102.5,103.4,97.2
世田谷市場数量,,97.7,96.4,105.2,99.3,97.5,99.3,100.2,102.1,98.3,110.8
世田谷市場金額,101.8,100.8,99.4,107.5,102.1,99.9,101.6,105.9,102.1,103.9,118.0
