,40％未満,40％以上,50％以上,60％以上,70％以上,合計,備考
市場数,4,7,9,6,2,28,
割合（％）,14.3,25,32.2,21.4,7.1,100,
,,,,,,,※調査対象37市場のうち28市場が回答
