科目,平成27年度（Ａ）(千円),平成27年度（Ａ）構成比(％),平成26年度（Ｂ）(千円),平成26年度（Ｂ）構成比(％),対前年度指数（Ａ/Ｂ）(％),
流動資産現金・預金,16487748,17.21,15779914,16.03,104.49,
流動資産売掛金,24883524,25.97,26986755,27.41,92.21,
流動資産受取手形,201665,0.21,163030,0.17,123.7,
流動資産有価証券,0,0,0,0,,
流動資産荷主前渡金,502669,0.52,129192,0.13,389.09,
流動資産（当座資産計）,42075606,43.92,43058891,43.73,97.72,
流動資産商品,15447926,16.13,15868328,16.12,97.35,
流動資産短期貸付金,2800117,2.92,3224825,3.28,86.83,
流動資産その他,977116,1.02,1046395,1.06,93.38,
流動資産貸倒引当金,-1491797,-1.56,-1935765,-1.97,,
流動資産計,59808968,62.43,61262674,62.22,97.63,
固定資産建物・設備等,17144562,17.9,17450770,17.72,98.25,
固定資産減価償却累計額,-10342158,-10.8,-10261067,-10.42,,
固定資産土地,7479420,7.81,7537064,7.66,99.24,
固定資産建設仮勘定,1272757,1.33,333026,0.34,382.18,
固定資産（有形固定資産計）,15554581,16.24,15059793,15.3,103.29,
固定資産（無形固定資産計）,2937311,3.07,2760724,2.8,106.4,
固定資産投資有価証券,10759716,11.23,11935418,12.12,90.15,
固定資産子会社株式,3721024,3.88,3651649,3.71,101.9,
固定資産出資金,1390,0,1370,0,101.46,
固定資産長期貸付金,3121318,3.26,3592642,3.65,86.88,
固定資産開設者預託保証金,163312,0.17,127000,0.13,128.59,
固定資産長期前払費用,29017,0.03,17047,0.02,170.22,
固定資産その他,3657317,3.82,4067674,4.13,89.91,
固定資産貸倒引当金,-3953028,-4.13,-4021367,-4.08,,
固定資産（投資その他の資産計）,17500066,18.27,19371433,19.68,90.34,
固定資産計,35991958,37.57,37191950,37.78,96.77,
繰延資産,0,0,0,0,,
資産合計,95800926,100,98454624,100,97.3,
流動負債受託販売未払金,1225236,1.28,1273254,1.29,96.23,
流動負債買掛金,13662463,14.26,14845531,15.08,92.03,
流動負債支払手形,0,0,70203,0.07,,
流動負債短期借入金,23069713,24.08,24695046,25.08,93.42,
流動負債未払税金,726877,0.76,725907,0.74,100.13,
流動負債賞与引当金,262797,0.27,285546,0.29,92.03,
流動負債その他,2678924,2.8,2369502,2.41,113.06,
流動負債計,41626010,43.45,44264989,44.96,94.04,
固定負債長期借入金,4864198,5.08,6246517,6.34,77.87,
固定負債退職給付引当金,3174380,3.31,3097053,3.15,102.5,
固定負債その他,4681172,4.89,5425029,5.51,86.29,
固定負債計,12719750,13.28,14768599,15,86.13,
負債合計,54345760,56.73,59033588,59.96,92.06,
純資産資本金,10630331,11.1,10630331,10.8,100,
純資産資本剰余金,4939646,5.16,4939646,5.02,100,
純資産利益剰余金,23095665,24.11,20224372,20.54,114.2,
純資産（うち当期純利益）,3448859,3.6,2342019,2.38,147.26,
純資産自己株式,-850421,-0.89,-559535,-0.57,,
純資産その他株主資本,0,0,0,0,,
純資産評価・換算差額等,3639945,3.8,4186222,4.25,86.95,
純資産新株予約権,0,0,0,0,,
純資産計,41455166,43.27,39421036,40.04,105.16,
負債・純資産合計,95800926,100,98454624,100,97.3,
,,,,,,平成26年度（水産物部）においては、決算に一部修正がありましたので、修正後の数値を表示しました。
