区分,種類,合計,東京シティ青果,東京青果,東京荏原青果,東京神田青果市場,東京豊島青果,東京新宿ベジフル,東京富士青果,東京荏原ベジフル,東京千住青果,東京ニュータウン青果
受託物品,野菜(トン),1027343,140678,363998,104112,42464,97043,123522,15692,18648,120646,540
受託物品,輸入野菜(トン),7742,544,3769,126,1381,327,862,162,65,502,4
受託物品,果実(トン),221998,27975,94153,10178,16693,14318,27317,2775,1265,27013,311
受託物品,輸入果実(トン),100,1,63,9,2,24,1,0,0,0,0
受託物品,その他(トン),11666,2631,3756,3,0,924,1744,0,271,2337,0
受託物品,当年度計（Ａ）(トン),1268849,171829,465739,114428,60540,112636,153446,18629,20249,150498,855
受託物品,前年度計（Ｂ）(トン),1296821,176942,468707,116432,61629,121929,153742,17613,21155,157698,974
受託物品,前年対比（Ａ/Ｂ）(％),97.84,97.11,99.37,98.28,98.23,92.38,99.81,105.77,95.72,95.43,87.78
買付物品,野菜(トン),472500,48237,119027,53783,19190,46816,55700,8995,16070,83820,20862
買付物品,輸入野菜(トン),33486,5342,7172,2916,2663,4175,3748,616,529,5756,569
買付物品,果実(トン),163120,21004,70328,25577,3038,4854,11557,1050,3298,19942,2472
買付物品,輸入果実(トン),53360,8837,454,2114,203,14568,8182,2,706,18061,233
買付物品,その他(トン),12961,619,4767,887,1207,897,1712,0,741,2107,24
買付物品,当年度計（Ａ）(トン),735427,84039,201748,85277,26301,71310,80899,10663,21344,129686,24160
買付物品,前年度計（Ｂ）(トン),761767,98213,207189,90283,21617,73210,82348,11129,22144,132539,23095
買付物品,前年対比（Ａ/Ｂ）(％),96.54,85.57,97.37,94.46,121.67,97.40,98.24,95.81,96.39,97.85,104.61
合計,野菜(トン),1499843,188915,483025,157895,61654,143859,179222,24687,34718,204466,21402
合計,輸入野菜(トン),41228,5886,10941,3042,4044,4502,4610,778,594,6258,573
合計,果実(トン),385118,48979,164481,35755,19731,19172,38874,3825,4563,46955,2783
合計,輸入果実(トン),53460,8838,517,2123,205,14592,8183,2,706,18061,233
合計,その他(トン),24627,3250,8523,890,1207,1821,3456,0,1012,4444,24
合計,当年度計（Ａ）(トン),2004276,255868,667487,199705,86841,183946,234345,29292,41593,280184,25015
合計,前年度計（Ｂ）(トン),2058588,275155,675896,206715,83246,195139,236090,28742,43299,290237,24069
合計,前年対比（Ａ/Ｂ）(％),97.36,92.99,98.76,96.61,104.32,94.26,99.26,101.91,96.06,96.54,103.93
構成比,受託物品(％),63.31,67.16,69.77,57.30,69.71,61.23,65.48,63.60,48.68,53.71,3.42
構成比,買付物品(％),36.69,32.84,30.23,42.70,30.29,38.77,34.52,36.40,51.32,46.29,96.58
構成比,合計(％),100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
