項目,事業内容,規模,実施市場
カーボンマイナス東京,太陽光発電設備の設置,約200kw,北足立
カーボンマイナス東京,太陽光発電設備の設置,約50kw,世田谷
カーボンマイナス東京,太陽光発電設備の設置,"約1,000kw",豊洲新市場
カーボンマイナス東京,断熱材フロンの焼却,約360m3,食肉
カーボンマイナス東京,断熱材フロンの焼却,"約1,600m3",築地
カーボンマイナス東京,アイドリング・ストップ設備の設置,190台,豊洲新市場
緑の東京,市場施設・敷地の緑化,約550m2,板橋
緑の東京,市場施設・敷地の緑化,約130m2,葛西
緑の東京,市場施設・敷地の緑化,約90m2,足立
緑の東京,市場施設・敷地の緑化,約620m2,淀橋
緑の東京,市場施設・敷地の緑化,約390m2,豊島
緑の東京,市場施設・敷地の緑化,約480m2,食肉
緑の東京,市場施設・敷地の緑化,"約123,000m2",豊洲新市場
