地域,合計搬出量,合計搬出量構成比（％）,合計台(人)数,合計台(人)数成比（％）,専門小売店搬出量,専門小売店構成比（％）,専門小売店台(人)数,専門小売店台(人)数成比（％）,食料品等中心店搬出量,食料品等中心店構成比（％）,食料品等中心店台(人)数,食料品等中心店台(人)数成比（％）,コンビニエンスストア搬出量,コンビニエンスストア構成比（％）,コンビニエンスストア台(人)数,コンビニエンスストア台(人)数成比（％）,食料品スーパー搬出量,食料品スーパー構成比（％）,食料品スーパー台(人)数,食料品スーパー台(人)数成比（％）,総合スーパー搬出量,総合スーパー構成比（％）,総合スーパー台(人)数,総合スーパー台(人)数成比（％）,百貨店搬出量,百貨店構成比（％）,百貨店台(人)数,百貨店台(人)数成比（％）,業務用搬出量,業務用構成比（％）,業務用台(人)数,業務用台(人)数成比（％）,加工業者搬出量,加工業者構成比（％）,加工業者台(人)数,加工業者台(人)数成比（％）,問屋・納入業者搬出量,問屋・納入業者構成比（％）,問屋・納入業者台(人)数,問屋・納入業者台(人)数成比（％）,都内中央卸売市場搬出量,都内中央卸売市場構成比（％）,都内中央卸売市場台(人)数,都内中央卸売市場台(人)数成比（％）,都内地方卸売市場搬出量,都内地方卸売市場構成比（％）,都内地方卸売市場台(人)数,都内地方卸売市場台(人)数成比（％）,都外中央卸売市場搬出量,都外中央卸売市場構成比（％）,都外中央卸売市場台(人)数,都外中央卸売市場台(人)数成比（％）,都外地方卸売市場搬出量,都外地方卸売市場構成比（％）,都外地方卸売市場台(人)数,都外地方卸売市場台(人)数成比（％）,その他搬出量,その他構成比（％）,その他台(人)数,その他台(人)数成比（％）,不明搬出量,不明構成比（％）,不明台(人)数,不明台(人)数成比（％）,備考,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
合計,634200,100.0,350,100.0,233388,100.0,170,100.0,44039,100.0,30,100.0,12882,100.0,4,100.0,156297,100.0,67,100.0,22623,100.0,18,100.0,138,100.0,1,100.0,16772,100.0,17,100.0,7405,100.0,2,100.0,55763,100.0,18,100.0,18628,100.0,4,100.0,7760,100.0,2,100.0,10689,100.0,2,100.0,47815,100.0,12,100.0,0,-,0,-,0,-,3,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
都内計,311511,49.1,189,54.0,106408,45.6,92,54.1,20647,46.9,17,56.7,7696,59.7,2,50.0,99956,64.0,39,58.2,10505,46.4,11,61.1,0,0.0,0,0.0,10188,60.7,12,70.6,701,9.5,1,50.0,35863,64.3,10,55.6,18628,100.0,4,100.0,919,11.8,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,-,0,-,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23区計,261916,41.3,175,50.0,104692,44.9,90,52.9,20647,46.9,17,56.7,7696,59.7,2,50.0,57289,36.7,30,44.8,10305,45.6,10,55.6,0,0.0,0,0.0,7012,41.8,11,64.7,701,9.5,1,50.0,34025,61.0,9,50.0,18628,100.0,4,100.0,919,11.8,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,-,0,-,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
千代田区,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,-,0,-,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中央区,11958,1.9,4,1.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,473,2.8,2,11.8,0,0.0,0,0.0,11485,20.6,2,11.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,-,0,-,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
港区,12310,1.9,6,1.7,0,0.0,0,0.0,5622,12.8,5,16.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,6688,12.0,1,5.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,-,0,-,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新宿区,14391,2.3,5,1.4,10603,4.5,3,1.8,0,0.0,0,0.0,3421,26.6,1,25.0,367,0.2,1,1.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,-,0,-,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
文京区,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,-,0,-,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
台東区,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,-,0,-,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
墨田区,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,-,0,-,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
