部類,連続プラス業者(社),連続プラス業者割合(％),プラス転換業者(社),プラス転換業者割合(％),マイナス転換業者(社),マイナス転換業者割合(％),連続マイナス業者(社),連続マイナス業者割合(％),不明(社),不明割合(％)
全体,543,55.4,25,2.5,21,2.1,346,35.2,47,4.8
水産物部,300,48.9,16,2.6,11,1.8,250,40.7,37,6.0
青果部,198,65.7,9,3.0,5,1.7,81,26.9,8,2.7
花き部,22,53.7,0,0.0,5,12.2,13,31.7,1,2.4
食肉部,23,88.5,0,0.0,0,0.0,2,7.7,1,3.8
