年度,廃棄物種類,発生量（ｔ）,比率（％）
19,一廃（魚腸骨除く）,25259,60.0
19,発泡,3456,8.2
19,産廃（発泡除く）,6456,15.4
19,魚腸骨,6905,16.4
19,計,42076,100
