区分,流通圏,１人当たり年間需要量平成26年度（基準年度）,１人当たり年間需要量平成32年度（目標年度）,需要人口平成26年度（基準年度）(万人),需要人口平成32年度（目標年度）(万人),流通圏需要量平成26年度（基準年度）,流通圏需要量平成32年度（目標年度）,卸売市場取扱量平成26年度（基準年度）,うち中央卸売市場分取扱量平成26年度（基準年度）,卸売市場取扱量平成32年度（目標年度）,うち中央卸売市場分取扱量平成32年度（目標年度）
水産物,都内全域,44.0kg,34.4kg,1414,1420,622160トン,488480トン,481178トン,479424トン,383413トン,380399トン
青果物野菜,都内全域,87.3kg,82.5kg,1414,1420,1234422トン,1171500トン,1850862トン,1571450トン,1953178トン,1632412トン
青果物果実,都内全域,31.3kg,28.7kg,1414,1420,442582トン,407540トン,547217トン,466969トン,498948トン,423006トン
食肉,都内全域,28.1kg,28.4kg,1414,1420,397334トン,403280トン,87208トン,87208トン,83704トン,83704トン
花き切花,都内全域,83.0本,75.6本,1570,1574,1303100千本,1189944千本,1303322千本,1194823千本,1160723千本,1103903千本
花き鉢物,都内全域,3.8鉢,3.2鉢,1570,1574,59660千鉢,50368千鉢,65081千鉢,57571千鉢,52433千鉢,48997千鉢
