市場,売上総利益率(％),経常利益率(％)
全体,12.3,1.1
築地市場,13.0,0.4
大田市場,12.7,1.3
豊島市場,9..2,-0.1
淀橋市場,11.6,0.5
板橋市場,9.9,0.1
世田谷市場,10.1,-0.2
北足立市場,10.7,2.0
多摩NT市場,10.6,0.6
葛西市場,11.1,0.6
