地域,合計搬出量,合計搬出量構成比（％）,合計台(人)数,合計台(人)数成比（％）,専門小売店搬出量,専門小売店構成比（％）,専門小売店台(人)数,専門小売店台(人)数成比（％）,食料品等中心店搬出量,食料品等中心店構成比（％）,食料品等中心店台(人)数,食料品等中心店台(人)数成比（％）,コンビニエンスストア搬出量,コンビニエンスストア構成比（％）,コンビニエンスストア台(人)数,コンビニエンスストア台(人)数成比（％）,食料品スーパー搬出量,食料品スーパー構成比（％）,食料品スーパー台(人)数,食料品スーパー台(人)数成比（％）,総合スーパー搬出量,総合スーパー構成比（％）,総合スーパー台(人)数,総合スーパー台(人)数成比（％）,百貨店搬出量,百貨店構成比（％）,百貨店台(人)数,百貨店台(人)数成比（％）,業務用搬出量,業務用構成比（％）,業務用台(人)数,業務用台(人)数成比（％）,加工業者搬出量,加工業者構成比（％）,加工業者台(人)数,加工業者台(人)数成比（％）,問屋・納入業者搬出量,問屋・納入業者構成比（％）,問屋・納入業者台(人)数,問屋・納入業者台(人)数成比（％）,都内中央卸売市場搬出量,都内中央卸売市場構成比（％）,都内中央卸売市場台(人)数,都内中央卸売市場台(人)数成比（％）,都内地方卸売市場搬出量,都内地方卸売市場構成比（％）,都内地方卸売市場台(人)数,都内地方卸売市場台(人)数成比（％）,都外中央卸売市場搬出量,都外中央卸売市場構成比（％）,都外中央卸売市場台(人)数,都外中央卸売市場台(人)数成比（％）,都外地方卸売市場搬出量,都外地方卸売市場構成比（％）,都外地方卸売市場台(人)数,都外地方卸売市場台(人)数成比（％）,その他搬出量,その他構成比（％）,その他台(人)数,その他台(人)数成比（％）,不明搬出量,不明構成比（％）,不明台(人)数,不明台(人)数成比（％）,備考
合計,585754,100.0,258,100.0,299211,100.0,157,100.0,7156,100.0,9,100.0,0,-,0,-,1682,100.0,12,100.0,75637,100.0,11,100.0,0,-,0,-,77883,100.0,21,100.0,25135,100.0,7,100.0,76186,100.0,13,100.0,3743,100.0,8,100.0,0,-,0,-,14424,100.0,6,100.0,0,-,0,-,4698,100.0,14,100.0,0,-,0,-,
都内計,233649,39.9,139,53.9,140567,47.0,89,56.7,2379,33.2,4,44.4,0,-,0,-,747,44.4,7,58.3,17048,22.5,6,54.5,0,-,0,-,37179,47.7,9,42.9,2342,9.3,1,14.3,27070,35.5,6,46.2,3743,100.0,8,100.0,0,-,0,-,0,0.0,0,0.0,0,-,0,-,2573,54.8,9,64.3,0,-,0,-,
23区計,218288,37.3,134,51.9,140098,46.8,88,56.1,2379,33.2,4,44.4,0,-,0,-,747,44.4,7,58.3,2811,3.7,5,45.5,0,-,0,-,37179,47.7,9,42.9,2342,9.3,1,14.3,26602,34.9,5,38.5,3743,100.0,8,100.0,0,-,0,-,0,0.0,0,0.0,0,-,0,-,2386,50.8,7,50.0,0,-,0,-,
千代田区,16300,2.8,4,1.6,14801,4.9,2,1.3,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,-,1499,1.9,2,9.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,-,0,-,
中央区,10770,1.8,6,2.3,7960,2.7,5,3.2,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,-,2810,3.6,1,4.8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,-,0,-,
港区,2474,0.4,3,1.2,421,0.1,1,0.6,1631,22.8,1,11.1,0,-,0,-,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,-,421,0.5,1,4.8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,-,0,-,
新宿区,6463,1.1,2,0.8,1218,0.4,1,0.6,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,0.0,0,0.0,5246,6.9,1,7.7,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,-,0,-,
文京区,5059,0.9,2,0.8,4590,1.5,1,0.6,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,469,0.6,1,9.1,0,-,0,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,-,0,-,
台東区,4962,0.8,7,2.7,4167,1.4,4,2.5,0,0.0,0,0.0,0,-,0,-,140,8.3,1,8.3,469,0.6,1,9.1,0,-,0,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,-,0,-,187,4.0,1,7.1,0,-,0,-,
墨田区,17516,3.0,12,4.7,11615,3.9,9,5.7,0,0.0,0,0.0,0,-,0,-,93,5.6,1,8.3,469,0.6,1,9.1,0,-,0,-,0,0.0,0,0.0,0,0.0,0,0.0,5339,7.0,1,7.7,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,-,0,-,
江東区,42102,7.2,26,10.1,35593,11.9,22,14.0,0,0.0,0,0.0,0,-,0,-,93,5.6,1,8.3,937,1.2,1,9.1,0,-,0,-,0,0.0,0,0.0,0,0.0,0,0.0,5339,7.0,1,7.7,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,-,0,-,141,3.0,1,7.1,0,-,0,-,
品川区,1029,0.2,3,1.2,655,0.2,2,1.3,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,-,374,0.5,1,4.8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,-,0,-,
目黒区,749,0.1,2,0.8,374,0.1,1,0.6,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,-,374,0.5,1,4.8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,-,0,-,
大田区,2807,0.5,9,3.5,655,0.2,2,1.3,0,0.0,0,0.0,0,-,0,-,93,5.6,1,8.3,0,0.0,0,0.0,0,-,0,-,374,0.5,1,4.8,0,0.0,0,0.0,0,0.0,0,0.0,747,20.0,4,50.0,0,-,0,-,0,0.0,0,0.0,0,-,0,-,937,19.9,1,7.1,0,-,0,-,
世田谷区,3089,0.5,5,1.9,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,-,93,5.6,1,8.3,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2996,80.0,4,50.0,0,-,0,-,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,-,0,-,
渋谷区,1873,0.3,1,0.4,1873,0.6,1,0.6,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,-,0,-,
中野区,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,-,0,-,
杉並区,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,-,0,-,
豊島区,749,0.1,1,0.4,749,0.3,1,0.6,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,-,0,-,
北区,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,-,0,-,
荒川区,4682,0.8,3,1.2,4682,1.6,3,1.9,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,-,0,-,
板橋区,2342,0.4,1,0.4,2342,0.8,1,0.6,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,-,0,-,
練馬区,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,-,0,-,
足立区,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,-,0,-,
葛飾区,22329,3.8,14,5.4,14236,4.8,8,5.1,561,7.8,2,22.2,0,-,0,-,93,5.6,1,8.3,469,0.6,1,9.1,0,-,0,-,1631,2.1,1,4.8,0,0.0,0,0.0,5339,7.0,1,7.7,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,-,0,-,
江戸川区,72991,12.5,33,12.8,34169,11.4,24,15.3,187,2.6,1,11.1,0,-,0,-,140,8.3,1,8.3,0,0.0,0,0.0,0,-,0,-,29694,38.1,1,4.8,2342,9.3,1,14.3,5339,7.0,1,7.7,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,-,0,-,1121,23.9,4,28.6,0,-,0,-,
多摩地区計,1124,0.2,4,1.6,469,0.2,1,0.6,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,0.0,0,0.0,469,0.6,1,7.7,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,-,0,-,187,4.0,2,14.3,0,-,0,-,
西多摩地域,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,-,0,-,
南多摩(1)地域,469,0.1,1,0.4,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,0.0,0,0.0,469,0.6,1,7.7,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,-,0,-,
南多摩(2)地域,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,-,0,-,
北多摩西部(1)地域,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,-,0,-,
