部類,市場,搬出台・人数,地域別搬出量合計,地域別搬出量比率（％）,地域別搬出量都内23区,地域別搬出量都内23区比率（％）,地域別搬出量都内多摩地区,地域別搬出量都内多摩地区比率（％）,地域別搬出量都内計,地域別搬出量都内比率（％）,地域別搬出量都外計,地域別搬出量都外比率（％）,地域別搬出量不明計,地域別搬出量不明比率（％）
水産物,築地,2148,2396092,93.4,826284,93.2,147559,91.4,981704,93.0,1390512,93.6,23876,98.7
水産物,大田,328,56202,2.2,22685,2.6,9635,6,32320,3.1,23844,1.6,38,0.2
水産物,足立,601,112689,4.4,37560,4.2,4204,2.6,41763,4.0,70656,4.8,270,1.1
水産物,計,3077,2564983,100.0,886529,100.0,161398,100,1055787,100.0,1485012,100.0,24184,100.0
青果物,築地,612,1372180,14.1,721098,16.4,60735,10.4,788096,15.8,562362,12.2,21723,19.7
青果物,大田,1513,4299780,44.3,1652381,37.6,306599,52.5,1968509,39.4,2290193,49.7,41078,37.3
青果物,豊島,299,539600,5.6,276326,6.3,5343,0.9,281670,5.6,255693,5.6,2237,2.0
青果物,淀橋,614,1094553,11.3,510030,11.6,76590,13.1,590417,11.8,502954,10.9,1182,1.1
青果物,板橋,312,634200,6.5,261916,6.0,49595,8.5,311511,6.2,322199,7.0,489,0.4
青果物,世田谷,122,256231,2.6,116698,2.7,26964,4.6,143662,2.9,112569,2.4,0,0.0
青果物,北足立,342,857500,8.8,464297,10.6,22171,3.8,486468,9.7,332486,7.2,38546,35.0
青果物,多摩NT,77,57197,0.6,1114,0.0,31628,5.4,32742,0.7,23803,0.5,652,0.6
青果物,葛西,448,601300,6.2,389883,8.9,4575,0.8,394458,7.9,202557,4.4,4284,3.9
青果物,計,4339,9712541,100.0,4393743,100.0,584200,100,4997533,100.0,4604816,100.0,110191,100.0
畜産物,食肉市場,210,421269,100.0,178979,100.0,2058,100,181037,100.0,233072,100.0,7160,100.0
畜産物,計,210,421269,100.0,178979,100.0,2058,100,181037,100.0,233072,100.0,7160,100.0
切花,大田,401,3656666,55.4,872685,42.2,165313,47.1,1052708,42.7,2547627,62.4,56331,99.4
切花,板橋,536,740368,11.2,350412,16.9,56916,16.2,407328,16.5,332688,8.2,353,0.6
切花,北足立,97,817203,12.4,286984,13.9,0,0,286984,11.6,530219,13,0,0.0
切花,葛西,180,585754,8.9,218288,10.5,1124,0.3,233649,9.5,352105,8.6,0,0.0
切花,世田谷,598,801954,12.1,341395,16.5,127621,36.4,483136,19.6,318818,7.8,0,0.0
切花,計,1812,6601945,100.0,2069764,100.0,350974,100,2463805,100.0,4081457,100.0,56684,100.0
鉢物,大田,127,397293,52.4,65641,39.5,13827,32,79468,37.9,311028,57.4,6797,93.6
鉢物,板橋,400,39665,5.2,21144,12.7,1860,4.3,23004,11.0,16660,3.1,0,0.0
鉢物,北足立,56,66031,8.7,16576,10.0,0,0,16576,7.9,48993,9.0,462,6.4
鉢物,葛西,135,82114,10.8,18695,11.2,2,0,18947,9.0,63167,11.7,0,0.0
鉢物,世田谷,513,173666,22.9,44194,26.6,27485,63.7,71679,34.2,101987,18.8,0,0.0
鉢物,計,1231,758769,100.0,166250,100.0,43174,100,209674,100.0,541835,100.0,7259,100.0
