地域／市場,合計,合計構成比（％）,築地市場,築地市場構成比（％）,大田市場,大田市場構成比（％）,豊島市場,豊島市場構成比（％）,淀橋市場,淀橋市場構成比（％）,板橋市場,板橋市場構成比（％）,世田谷市場,世田谷市場構成比（％）,北足立市場,北足立市場構成比（％）,多摩NT市場,多摩NT市場構成比（％）,葛西市場,葛西市場構成比（％）,備考
合計,2987243,100.0,349454,100.0,1514816,100.0,138100,100.0,330448,100.0,167100,100.0,44800,100.0,308200,100.0,10325,100.0,124000,100.0,
都内計,1431242,47.9,163503,46.8,678885,44.8,75827,54.9,164301,49.7,94912,56.8,31231,69.7,129887,42.1,8191,79.3,84504,68.1,
23区計,1238805,41.5,154937,44.3,560960,37.0,73617,53.3,127849,38.7,81804,49.0,29911,66.8,125966,40.9,43,0.4,83719,67.5,
千代田区,14809,0.5,2652,0.8,11056,0.7,46,0.0,400,0.1,0,0.0,0,0.0,39,0.0,13,0.1,603,0.5,
中央区,57450,1.9,16677,4.8,19674,1.3,6801,4.9,987,0.3,10029,6.0,0,0.0,59,0.0,0,0.0,3223,2.6,
港区,39390,1.3,14009,4.0,14283,0.9,1118,0.8,1711,0.5,7607,4.6,0,0.0,39,0.0,7,0.1,616,0.5,
新宿区,68101,2.3,12678,3.6,22687,1.5,9495,6.9,18700,5.7,2710,1.6,163,0.4,1461,0.5,13,0.1,194,0.2,
文京区,22129,0.7,1294,0.4,11179,0.7,8058,5.8,497,0.2,0,0.0,0,0.0,863,0.3,0,0.0,239,0.2,
台東区,27642,0.9,1824,0.5,19299,1.3,476,0.3,218,0.1,0,0.0,0,0.0,4220,1.4,0,0.0,1605,1.3,
墨田区,29108,1.0,1125,0.3,18837,1.2,2350,1.7,1771,0.5,0,0.0,0,0.0,167,0.1,0,0.0,4858,3.9,
江東区,64743,2.2,10235,2.9,34398,2.3,0,0.0,237,0.1,6431,3.8,0,0.0,2255,0.7,0,0.0,11188,9.0,
品川区,53934,1.8,17013,4.9,30633,2.0,0,0.0,5829,1.8,413,0.2,0,0.0,0,0.0,0,0.0,45,0.0,
目黒区,29058,1.0,2580,0.7,19360,1.3,0,0.0,4679,1.4,0,0.0,2179,4.9,29,0.0,5,0.0,227,0.2,
大田区,174839,5.9,35151,10.1,118403,7.8,0,0.0,8167,2.5,1290,0.8,10283,23.0,0,0.0,0,0.0,1545,1.2,
世田谷区,88203,3.0,1479,0.4,64511,4.3,100,0.1,6460,2.0,919,0.5,11606,25.9,2353,0.8,5,0.0,773,0.6,
渋谷区,43309,1.4,3827,1.1,20100,1.3,146,0.1,6756,2.0,8612,5.2,2632,5.9,59,0.0,0,0.0,1178,1.0,
中野区,31033,1.0,1479,0.4,11619,0.8,345,0.2,14948,4.5,289,0.2,0,0.0,2353,0.8,0,0.0,0,0.0,
杉並区,31044,1.0,1093,0.3,9256,0.6,291,0.2,15987,4.8,193,0.1,3048,6.8,1176,0.4,0,0.0,0,0.0,
豊島区,51731,1.7,7786,2.2,20146,1.3,17282,12.5,3923,1.2,725,0.4,0,0.0,1245,0.4,0,0.0,624,0.5,
北区,21372,0.7,2572,0.7,3286,0.2,9953,7.2,1929,0.6,1556,0.9,0,0.0,2029,0.7,0,0.0,45,0.0,
荒川区,14951,0.5,217,0.1,3989,0.3,2535,1.8,1259,0.4,495,0.3,0,0.0,4638,1.5,0,0.0,1818,1.5,
板橋区,69437,2.3,2668,0.8,22319,1.5,8695,6.3,4018,1.2,29695,17.8,0,0.0,1814,0.6,0,0.0,227,0.2,
練馬区,50698,1.7,2186,0.6,9648,0.6,2037,1.5,25667,7.8,9328,5.6,0,0.0,1833,0.6,0,0.0,0,0.0,
足立区,132575,4.4,10020,2.9,26511,1.8,3813,2.8,1512,0.5,1488,0.9,0,0.0,82127,26.6,0,0.0,7105,5.7,
葛飾区,51290,1.7,1929,0.6,20040,1.3,77,0.1,148,0.0,23,0.0,0,0.0,7592,2.5,0,0.0,21482,17.3,
江戸川区,70362,2.4,3481,1.0,29727,2.0,0,0.0,1414,0.4,0,0.0,0,0.0,9617,3.1,0,0.0,26123,21.1,
