回答,今回調査(％),平成16年(％),備考
鮮度,84.7,77.8,
価格,61.5,53.9,
安全性,42.3,37.0,
産地,27.8,19.2,
味,16.8,16.3,
必要な量だけ購入できること,15.0,14.2,
体に良いもの,11.8,13.0,
見た目,7.4,7.5,
手間の少なさ（カット野菜・切り身等）,2.7,3.2,
ブランド（銘柄）,2.0,1.6,
買わない,3.5,11.0,
その他,0,0.3,
無回答,0,0,
,,,今回調査（n=2072）
,,,平成16年（n=2107）
