部類,区分,23,24,25,26,27,備考
水産物部,業者数(業者),814,787,764,746,706,
水産物部,調査業者数(業者),657,658,652,622,614,
水産物部,赤字業者数(業者),405,317,260,258,236,
水産物部,赤字業者数割合(％),61.6,48.2,39.9,41.5,38.4,
青果部,業者数(業者),353,349,347,345,343,
青果部,調査業者数(業者),315,310,312,309,301,
青果部,赤字業者数(業者),148,122,106,91,81,
青果部,赤字業者数割合(％),47.0,39.4,34.0,29.4,26.9,
食肉部,業者数(業者),28,28,26,26,26,
食肉部,調査業者数(業者),27,28,26,25,26,
食肉部,赤字業者数(業者),11,14,13,7,6,
食肉部,赤字業者数割合(％),40.7,50.0,50.0,28.0,23.1,
花き部,業者数(業者),49,48,48,47,47,
花き部,調査業者数(業者),44,44,43,42,41,
花き部,赤字業者数(業者),14,14,15,15,12,
花き部,赤字業者数割合(％),31.8,31.8,34.9,35.7,29.3,
合計,業者数(業者),1244,1212,1185,1164,1122,
合計,調査業者数(業者),1043,1040,1033,998,982,
合計,赤字業者数(業者),578,467,394,371,335,
合計,赤字業者数割合(％),55.4,44.9,38.1,37.2,34.1,
,,,,,,,（注）１赤字業者数は、経常損益による。
,,,,,,,２赤字業者数は、仲卸業者経営調査業者数に対する割合(％)である。
