年度,業者,水産,青果,食肉,花き,備考
11,卸売業者,5.70,4.84,6.22,3.74,
11,仲卸業者,0.39,0.87,0.73,2.16,
,,,,,,※売上総利益（兼業業務を除く）は東京都中央卸売市場「卸売業者財務諸表」、「仲卸業者の経営状況」等に基づき算出
