年度,23区,多摩,都外,備考,,
S33,63.5,5.0,31.5,,,
S35,64.1,5.6,30.2,,,
S37,63.7,6.5,29.8,,,
S39,62.0,5.7,32.4,,,
S45,54.3,8.7,37.0,,,
S48,54.4,8.8,36.8,,,
S51,50.0,8.3,41.6,,,
S54,60.2,6.8,32.9,,,
S58,59.4,8.3,32.3,,,
S61,58.0,9.3,32.7,,,
H01,56.1,8.6,35.2,,,
H04,59.1,10.0,30.9,,,
H07,53.8,10.5,35.2,,,
H10,52.0,10.8,36.6,,,
H13,31.3,8.3,59.4,,,
H16,43.9,8.5,42.4,,,
H21,57.9,6.3,57.9,,,
,,,,単位：％,,
