年,総数,23区,多摩,都外,,,,,,,,,,,,,,,,,,
S33,2042,1296,103,644,,,,,,,,,,,,,,,,,,
S35,2255,1446,126,682,,,,,,,,,,,,,,,,,,
S37,2537,1617,165,755,,,,,,,,,,,,,,,,,,
S39,2287,1417,130,740,,,,,,,,,,,,,,,,,,
S45,2358,1280,206,872,,,,,,,,,,,,,,,,,,
S48,2113,1149,186,777,,,,,,,,,,,,,,,,,,
S51,3395,1698,282,1414,,,,,,,,,,,,,,,,,,
S54,3792,2284,259,1249,,,,,,,,,,,,,,,,,,
S58,3441,2044,287,1110,,,,,,,,,,,,,,,,,,
S61,3417,1983,318,1116,,,,,,,,,,,,,,,,,,
H元,3395,1906,293,1196,,,,,,,,,,,,,,,,,,
H4,2820,1668,282,870,,,,,,,,,,,,,,,,,,
H7,2845,1532,299,1001,,,,,,,,,,,,,,,,,,
H10,2400,1248,260,878,,,,,,,,,,,,,,,,,,
H13,2593,811,215,1541,,,,,,,,,,,,,,,,,,
H16,2122,601,181,933,,,,,,,,,,,,,,,,,,
H21,2565,887,161,1485,,,,,,,,,,,,,,,,,,
H26,1798,827,182,755,,,,,,,,,,,,,,,,,,
