地域,合計搬出量,合計搬出量構成比（％）,合計台(人)数,合計台(人)数成比（％）,専門小売店搬出量,専門小売店構成比（％）,専門小売店台(人)数,専門小売店台(人)数成比（％）,食料品等中心店搬出量,食料品等中心店構成比（％）,食料品等中心店台(人)数,食料品等中心店台(人)数成比（％）,コンビニエンスストア搬出量,コンビニエンスストア構成比（％）,コンビニエンスストア台(人)数,コンビニエンスストア台(人)数成比（％）,食料品スーパー搬出量,食料品スーパー構成比（％）,食料品スーパー台(人)数,食料品スーパー台(人)数成比（％）,総合スーパー搬出量,総合スーパー構成比（％）,総合スーパー台(人)数,総合スーパー台(人)数成比（％）,百貨店搬出量,百貨店構成比（％）,百貨店台(人)数,百貨店台(人)数成比（％）,業務用搬出量,業務用構成比（％）,業務用台(人)数,業務用台(人)数成比（％）,加工業者搬出量,加工業者構成比（％）,加工業者台(人)数,加工業者台(人)数成比（％）,問屋・納入業者搬出量,問屋・納入業者構成比（％）,問屋・納入業者台(人)数,問屋・納入業者台(人)数成比（％）,都内中央卸売市場搬出量,都内中央卸売市場構成比（％）,都内中央卸売市場台(人)数,都内中央卸売市場台(人)数成比（％）,都内地方卸売市場搬出量,都内地方卸売市場構成比（％）,都内地方卸売市場台(人)数,都内地方卸売市場台(人)数成比（％）,都外中央卸売市場搬出量,都外中央卸売市場構成比（％）,都外中央卸売市場台(人)数,都外中央卸売市場台(人)数成比（％）,都外地方卸売市場搬出量,都外地方卸売市場構成比（％）,都外地方卸売市場台(人)数,都外地方卸売市場台(人)数成比（％）,その他搬出量,その他構成比（％）,その他台(人)数,その他台(人)数成比（％）,不明搬出量,不明構成比（％）,不明台(人)数,不明台(人)数成比（％）,備考
合計,9712541,100.0,5963,100.0,2040415,100.0,1812,100.0,358647,100.0,361,100.0,38198,100.0,50,100.0,2297113,100.0,1023,100.0,1111489,100.0,459,100.0,140305,100.0,99,100.0,704039,100.0,1029,100.0,391297,100.0,102,100.0,723607,100.0,321,100.0,302795,100.0,131,100.0,118633,100.0,29,100.0,246083,100.0,67,100.0,800033,100.0,189,100.0,307645,100.0,133,100.0,132242,100.0,158,100.0,
都内計,4997534,51.5,4090,68.6,1452181,71.2,1444,79.7,234446,65.4,279,77.3,27782,72.7,43,86.0,1338640,58.3,685,67.0,363218,32.7,227,49.5,85789,61.1,43,43.4,529232,75.2,879,85.4,36867,9.4,43,42.2,283431,39.2,167,52.0,291372,96.2,116,88.5,109286,92.1,27,93.1,29594,12.0,6,9.0,68178,8.5,15,7.9,112407,36.5,64,48.1,35111,26.6,52,32.9,
23区計,4393743,45.2,3717,62.3,1364437,66.9,1357,74.9,216104,60.3,268,74.2,23985,62.8,42,84.0,1141531,49.7,595,58.2,290595,26.1,185,40.3,53256,38.0,32,32.3,487889,69.3,800,77.7,31476,8.0,41,40.2,246287,34.0,145,45.2,279725,92.4,113,86.3,43247,36.5,14,48.3,20339,8.3,3,4.5,54455,6.8,10,5.3,105307,34.2,62,46.6,35111,26.6,50,31.6,
千代田区,85331,0.9,121,2.0,15250,0.7,31,1.7,2108,0.6,5,1.4,114,0.3,1,2.0,9566,0.4,9,0.9,0,0.0,0,0.0,255,0.2,1,1.0,46011,6.5,61,5.9,420,0.1,1,1.0,6817,0.9,7,2.2,0,0.0,0,0.0,3373,2.8,1,3.4,0,0.0,0,0.0,626,0.1,1,0.5,712,0.2,1,0.8,78,0.1,2,1.3,
中央区,217493,2.2,230,3.9,57233,2.8,46,2.5,7319,2.0,12,3.3,114,0.3,1,2.0,12667,0.6,11,1.1,2530,0.2,2,0.4,1952,1.4,4,4.0,58339,8.3,116,11.3,752,0.2,2,2.0,33418,4.6,16,5.0,36291,12.0,9,6.9,0,0.0,0,0.0,3537,1.4,1,1.5,626,0.1,1,0.5,706,0.2,4,3.0,2009,1.5,5,3.2,
港区,161265,1.7,177,3.0,43282,2.1,37,2.0,17497,4.9,22,6.1,1588,4.2,2,4.0,17550,0.8,16,1.6,0,0.0,0,0.0,0,0.0,0,0.0,62439,8.9,85,8.3,38,0.0,1,1.0,13668,1.9,10,3.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2849,0.9,1,0.8,2355,1.8,3,1.9,
新宿区,314269,3.2,240,4.0,90935,4.5,73,4.0,16373,4.6,16,4.4,4092,10.7,3,6.0,55286,2.4,32,3.1,16041,1.4,10,2.2,1609,1.1,3,3.0,53544,7.6,74,7.2,632,0.2,1,1.0,11774,1.6,13,4.0,31686,10.5,5,3.8,2505,2.1,1,3.4,11791,4.8,1,1.5,12526,1.6,1,0.5,3848,1.3,4,3.0,1625,1.2,3,1.9,
文京区,58172,0.6,88,1.5,26732,1.3,38,2.1,5258,1.5,6,1.7,160,0.4,2,4.0,14722,0.6,8,0.8,262,0.0,1,0.2,0,0.0,0,0.0,6336,0.9,27,2.6,0,0.0,0,0.0,4614,0.6,4,1.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,88,0.1,2,1.3,
台東区,130562,1.3,105,1.8,32504,1.6,41,2.3,4100,1.1,6,1.7,114,0.3,1,2.0,33343,1.5,15,1.5,2822,0.3,3,0.7,3578,2.6,2,2.0,9541,1.4,22,2.1,933,0.2,3,2.9,41975,5.8,9,2.8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1652,0.5,2,1.5,0,0.0,1,0.6,
墨田区,109579,1.1,150,2.5,44288,2.2,59,3.3,3023,0.8,15,4.2,114,0.3,1,2.0,40526,1.8,27,2.6,6384,0.6,12,2.6,0,0.0,0,0.0,7970,1.1,21,2.0,537,0.1,1,1.0,5364,0.7,4,1.2,1374,0.5,10,7.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,
