地域,合計搬出量,合計搬出量構成比（％）,合計台(人)数,合計台(人)数成比（％）,専門小売店搬出量,専門小売店構成比（％）,専門小売店台(人)数,専門小売店台(人)数成比（％）,食料品等中心店搬出量,食料品等中心店構成比（％）,食料品等中心店台(人)数,食料品等中心店台(人)数成比（％）,コンビニエンスストア搬出量,コンビニエンスストア構成比（％）,コンビニエンスストア台(人)数,コンビニエンスストア台(人)数成比（％）,食料品スーパー搬出量,食料品スーパー構成比（％）,食料品スーパー台(人)数,食料品スーパー台(人)数成比（％）,総合スーパー搬出量,総合スーパー構成比（％）,総合スーパー台(人)数,総合スーパー台(人)数成比（％）,百貨店搬出量,百貨店構成比（％）,百貨店台(人)数,百貨店台(人)数成比（％）,業務用搬出量,業務用構成比（％）,業務用台(人)数,業務用台(人)数成比（％）,加工業者搬出量,加工業者構成比（％）,加工業者台(人)数,加工業者台(人)数成比（％）,問屋・納入業者搬出量,問屋・納入業者構成比（％）,問屋・納入業者台(人)数,問屋・納入業者台(人)数成比（％）,都内中央卸売市場搬出量,都内中央卸売市場構成比（％）,都内中央卸売市場台(人)数,都内中央卸売市場台(人)数成比（％）,都内地方卸売市場搬出量,都内地方卸売市場構成比（％）,都内地方卸売市場台(人)数,都内地方卸売市場台(人)数成比（％）,都外中央卸売市場搬出量,都外中央卸売市場構成比（％）,都外中央卸売市場台(人)数,都外中央卸売市場台(人)数成比（％）,都外地方卸売市場搬出量,都外地方卸売市場構成比（％）,都外地方卸売市場台(人)数,都外地方卸売市場台(人)数成比（％）,その他搬出量,その他構成比（％）,その他台(人)数,その他台(人)数成比（％）,不明搬出量,不明構成比（％）,不明台(人)数,不明台(人)数成比（％）,備考
合計,397293,100.0,152,100.0,220828,100.0,104,100.0,0,-,0,-,0,-,0,-,202,100.0,1,100.0,92228,100.0,16,100.0,0,-,0,-,5346,100.0,5,100.0,6054,100.0,4,100.0,62551,100.0,14,100.0,30,100.0,1,100.0,0,-,0,-,4703,100.0,2,100.0,0,-,0,-,5351,100.0,5,100.0,0,-,0,-,
都内計,79468,20.0,79,52.0,39205,17.8,60,57.7,0,-,0,-,0,-,0,-,202,100.0,1,100.0,20422,22.1,4,25.0,0,-,0,-,5143,96.2,3,60.0,2529,41.8,3,75.0,11688,18.7,6,42.9,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,-,0,-,278,5.2,2,40.0,0,-,0,-,
23区計,65641,16.5,72,47.4,30259,13.7,54,51.9,0,-,0,-,0,-,0,-,202,100.0,1,100.0,15542,16.9,3,18.8,0,-,0,-,5143,96.2,3,60.0,2529,41.8,3,75.0,11688,18.7,6,42.9,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,-,0,-,278,5.2,2,40.0,0,-,0,-,
千代田区,25,0.0,2,1.3,25,0.0,2,1.9,0,-,0,-,0,-,0,-,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,-,0,-,
中央区,2337,0.6,5,3.3,1381,0.6,3,2.9,0,-,0,-,0,-,0,-,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,-,111,2.1,1,20.0,845,14.0,1,25.0,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,-,0,-,
港区,2261,0.6,7,4.6,1234,0.6,6,5.8,0,-,0,-,0,-,0,-,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,-,1027,19.2,1,20.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,-,0,-,
新宿区,1684,0.4,2,1.3,842,0.4,1,1.0,0,-,0,-,0,-,0,-,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,842,13.9,1,25.0,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,-,0,-,
文京区,15,0.0,1,0.7,15,0.0,1,1.0,0,-,0,-,0,-,0,-,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,-,0,-,
台東区,5341,1.3,4,2.6,5189,2.3,2,1.9,0,-,0,-,0,-,0,-,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,0.0,0,0.0,152,0.2,2,14.3,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,-,0,-,
墨田区,759,0.2,1,0.7,759,0.3,1,1.0,0,-,0,-,0,-,0,-,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,-,0,-,
