品目1,品目2,生産地,測定結果【放射能濃度（Bq/kg）】ヨウ素１３１暫定基準値,測定結果【放射能濃度（Bq/kg）】ヨウ素１３１実測値,測定結果【放射能濃度（Bq/kg）】放射性セシウム暫定基準値,測定結果【放射能濃度（Bq/kg）】放射性セシウム実測値
野菜,ホウレン草,福島県西白河郡矢吹町,2000,70,500,50以下
野菜,小松菜,福島県西白河郡矢吹町,2000,780,500,50以下
野菜,ニラ,福島県西白河郡矢吹町,2000,71,500,50以下
野菜,水菜,茨城県行方市,2000,700,500,50以下
野菜,白菜,茨城県結城市,2000,50以下,500,50以下
野菜,春菊,千葉県旭市,2000,4300,500,50以下
野菜,ネギ,千葉県山武郡横芝光町,2000,910,500,50以下
