年度,項目,水産,青果,食肉,花き,合計,単位
11,（構成比）,35.8,49.5,5.9,8.8,100,％
11,売上高割使用料,79.5,51.5,55.4,39.6,60.7,％
11,面積割使用料,20.5,48.5,44.6,60.4,39.3,％
21,（構成比）,31.1,50.0,7.2,11.7,100,％
21,売上高割使用料,66.9,45.2,47.7,33.3,50.8,％
21,面積割使用料,33.1,54.8,52.3,66.7,49.2,％
