検体名,生産地,放射性ヨウ素（Ｂｑ/Ｋｇ）I-131,放射性ヨウ素（Ｂｑ/Ｋｇ）暫定規制値,備考
春菊,千葉県旭市,4300,2000,
,,,,○検査した7検体中暫定規制値を超える放射性セシウムを検出した検体はなかった。
,,,,○検査した7検体中１検体で暫定規制値を超える放射性ヨウ素を検出した。
,,,,Bq（ベクレル）/ｋｇとは、１ｋｇの検体中の放射性物質が放射線を出す能力を表す単位です。
