年度,23区,多摩,都外,備考
H01,76.9,0.0,23.1,
H04,61.4,1.1,37.4,
H07,64.7,1.3,33.7,
H10,55.6,2.7,41.7,
H13,34.5,34.5,25.9,
H16,49.8,10.4,34.6,
H21,31.4,5.3,61.8,
,,,,単位：％
