市場,専門小売店台・人数,専門小売店台・人数比率（％）,専門小売店台・数量,専門小売店台・数量比率（％）,食料品等中心店・人数,食料品等中心店・人数比率（％）,食料品等中心店・数量,食料品等中心店・数量比率（％）,コンビニエンスストア・人数,コンビニエンスストア・人数比率（％）,コンビニエンスストア・数量,コンビニエンスストア・数量比率（％）,食料品スーパー・人数,食料品スーパー・人数比率（％）,食料品スーパー・数量,食料品スーパー・数量比率（％）,総合スーパー・人数,総合スーパー・人数比率（％）,総合スーパー・数量,総合スーパー・数量比率（％）,百貨店・人数,百貨店・人数比率（％）,百貨店・数量,百貨店・数量比率（％）,業務用・人数,業務用・人数比率（％）,業務用・数量,業務用・数量比率（％）,加工業者・人数,加工業者・人数比率（％）,加工業者・数量,加工業者・数量比率（％）,問屋・納入業者・人数,問屋・納入業者・人数比率（％）,問屋・納入業者・数量,問屋・納入業者・数量比率（％）,都内中央卸売市場・人数,都内中央卸売市場・人数比率（％）,都内中央卸売市場・数量,都内中央卸売市場・数量比率（％）,都内地方卸売市場・人数,都内地方卸売市場・人数比率（％）,都内地方卸売市場・数量,都内地方卸売市場・数量比率（％）,都外中央卸売市場・人数,都外中央卸売市場・人数比率（％）,都外中央卸売市場・数量,都外中央卸売市場・数量比率（％）,都外地方卸売市場・人数,都外地方卸売市場・人数比率（％）,都外地方卸売市場・数量,都外地方卸売市場・数量比率（％）,その他・人数,その他・人数比率（％）,その他・数量,その他・数量比率（％）,不明・人数,不明・人数比率（％）,不明・数量,不明・数量比率（％）,計・人数,計・人数比率（％）,計・数量,計・数量比率（％）,備考
築地市場,632,18.9,329750,13.8,175,5.2,62286,2.6,5,0.1,4026,0.2,394,11.8,330056,13.8,142,4.2,163381,6.8,167,5.0,80742,3.4,1128,33.8,240444,10.0,55,1.6,42174,1.8,145,4.3,102949,4.3,34,1.0,77863,3.2,29,0.9,28450,1.2,110,3.3,341224,14.2,102,3.1,239782,10.0,186,5.6,331074,13.8,38,1.1,21890,0.9,3342,100.0,2396092,100.0,
大田市場,72,16.4,5432,9.7,69,15.8,10154,18.1,0,0.0,0,0.0,36,8.2,4406,7.8,39,8.9,21043,37.4,7,1.6,805,1.4,147,33.6,2860,5.1,2,0.5,6,0.0,21,4.8,3648,6.5,12,2.7,5503,9.8,6,1.4,144,0.3,1,0.2,215,0.4,10,2.3,1505,2.7,6,1.4,425,0.8,10,2.3,56,0.1,438,100.0,56202,100.0,
足立市場,191,28.5,20938,18.6,39,5.8,3900,3.5,3,0.4,143,0.1,79,11.8,26154,23.2,17,2.5,6420,5.7,2,0.3,715,0.6,171,25.5,5015,4.5,8,1.2,353,0.3,34,5.1,10726,9.5,11,1.6,4443,3.9,7,1.0,6420,5.7,6,0.9,1292,1.1,47,7.0,20608,18.3,46,6.9,4218,3.7,10,1.5,1344,1.2,671,100.0,112689,100.0,
水産物計,895,20.1,356120,13.9,283,6.4,76341,3.0,8,0.2,4169,0.2,509,11.4,360616,14.1,198,4.4,190845,7.4,176,4.0,82262,3.2,1446,32.5,248319,9.7,65,1.5,42533,1.7,200,4.5,117323,4.6,57,1.3,87808,3.4,42,0.9,35014,1.4,117,2.6,342731,13.4,159,3.6,261895,10.2,238,5.3,335718,13.1,58,1.3,23290,0.9,4451,100.0,2564983,100.0,
築地市場,248,33.1,457206,33.3,37,4.9,43746,3.2,3,0.4,6672,0.5,42,5.6,131013,9.5,23,3.1,64857,4.7,3,0.4,6013,0.4,227,30.3,147012,10.7,7,0.9,16441,1.2,50,6.7,58058,4.2,22,2.9,123593,9.0,8,1.1,20707,1.5,12,1.6,64734,4.7,25,3.3,139891,10.2,22,2.9,47674,3.5,21,2.8,44564,3.2,750,100.0,1372180,100.0,
大田市場,364,18.6,499794,11.6,72,3.7,113954,2.7,8,0.4,7586,0.2,531,27.1,1341676,31.2,152,7.8,550305,12.8,80,4.1,115838,2.7,278,14.2,292733,6.8,69,3.5,239241,5.6,105,5.4,295401,6.9,23,1.2,91304,2.1,16,0.8,88096,2.0,27,1.4,98047,2.3,72,3.7,299756,7.0,59,3.0,187260,4.4,100,5.1,78789,1.8,1956,100.0,4299780,100.0,
豊島市場,174,46.6,116815,21.6,14,3.8,11301,2.1,0,0.0,0,0.0,21,5.6,30637,5.7,16,4.3,24543,4.5,0,0.0,0,0.0,44,11.8,20104,3.7,2,0.5,4919,0.9,55,14.7,186114,34.5,4,1.1,5287,1.0,0,0.0,0,0.0,14,3.8,43799,8.1,24,6.4,95963,17.8,1,0.3,117,0.0,4,1.1,0,0.0,373,100.0,539600,100.0,
淀橋市場,311,34.1,304288,27.8,56,6.1,29409,2.7,31,3.4,9448,0.9,92,10.1,155216,14.2,43,4.7,98153,9.0,13,1.4,16692,1.5,235,25.8,98245,9.0,5,0.5,110143,10.1,49,5.4,51438,4.7,16,1.8,31575,2.9,3,0.3,2070,0.2,8,0.9,16517,1.5,36,3.9,138988,12.7,5,0.5,31773,2.9,9,1.0,600,0.1,912,100.0,1094553,100.0,
板橋市場,170,48.6,233388,36.8,30,8.6,44039,6.9,4,1.1,12882,2.0,67,19.1,156297,24.6,18,5.1,22623,3.6,1,0.3,138,0.0,17,4.9,16772,2.6,2,0.6,7405,1.2,18,5.1,55763,8.8,4,1.1,18628,2.9,2,0.6,7760,1.2,2,0.6,10689,1.7,12,3.4,47815,7.5,0,0.0,0,0.0,3,0.9,0,0.0,350,100.0,634200,100.0,
世田谷市場,97,59.5,103651,40.5,13,8.0,16167,6.3,0,0.0,0,0.0,13,8.0,25057,9.8,7,4.3,18738,7.3,0,0.0,0,0.0,17,10.4,19589,7.6,1,0.6,880,0.3,10,6.1,47228,18.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,5,3.1,24920,9.7,0,0.0,0,0.0,0,0.0,0,0.0,163,100.0,256231,100.0,
北足立市場,148,33.0,181505,21.2,41,9.2,51018,5.9,3,0.7,1523,0.2,100,22.3,337617,39.4,47,10.5,170030,19.8,2,0.4,1624,0.2,42,9.4,31860,3.7,3,0.7,891,0.1,29,6.5,28385,3.3,3,0.7,25318,3.0,0,0.0,0,0.0,1,0.2,2941,0.3,2,0.4,21939,2.6,21,4.7,414,0.0,6,1.3,2436,0.3,448,100.0,857500,100.0,
多摩NT市場,16,14.0,7241,12.7,1,0.9,121,0.2,0,0.0,0,0.0,5,4.4,599,1.0,42,36.8,32001,55.9,0,0.0,0,0.0,44,38.6,13275,23.2,5,4.4,3961,6.9,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.9,0,0.0,114,100.0,57197,100.0,
葛西市場,284,31.7,136526,22.7,97,10.8,48893,8.1,1,0.1,87,0.0,152,16.9,119001,19.8,111,12.4,130240,21.7,0,0.0,0,0.0,125,13.9,64450,10.7,8,0.9,7415,1.2,5,0.6,1220,0.2,59,6.6,7090,1.2,0,0.0,0,0.0,3,0.3,9356,1.6,13,1.4,30762,5.1,25,2.8,40408,6.7,14,1.6,5853,1.0,897,100.0,601300,100.0,
青果物計,1812,30.4,2040415,21.0,361,6.1,358647,3.7,50,0.8,38198,0.4,1023,17.2,2297113,23.7,459,7.7,1111489,11.4,99,1.7,140305,1.4,1029,17.3,704039,7.2,102,1.7,391297,4.0,321,5.4,723607,7.5,131,2.2,302795,3.1,29,0.5,118633,1.2,67,1.1,246083,2.5,189,3.2,800033,8.2,133,2.2,307645,3.2,158,2.6,132242,1.4,5963,100.0,9712541,100.0,
食肉市場,87,23.2,46127,10.9,13,3.5,3608,0.9,2,0.5,25,0.0,28,7.5,18176,4.3,12,3.2,10201,2.4,5,1.3,1612,0.4,52,13.9,18519,4.4,22,5.9,50806,12.1,132,35.2,244048,57.9,4,1.1,240,0.1,0,0.0,0,0.0,0,0.0,0,0.0,1,0.3,7497,1.8,11,2.9,9153,2.2,6,1.6,11257,2.7,375,100.0,421269,100.0,
畜産物計,87,23.2,46127,10.9,13,3.5,3608,0.9,2,0.5,25,0.0,28,7.5,18176,4.3,12,3.2,10201,2.4,5,1.3,1612,0.4,52,13.9,18519,4.4,22,5.9,50806,12.1,132,35.2,244048,57.9,4,1.1,240,0.1,0,0.0,0,0.0,0,0.0,0,0.0,1,0.3,7497,1.8,11,2.9,9153,2.2,6,1.6,11257,2.7,375,100.0,421269,100.0,
大田市場,281,52.7,1542501,42.2,0,0.0,0,0.0,0,0.0,0,0.0,8,1.5,40266,1.1,13,2.4,113815,3.1,1,0.2,2076,0.1,71,13.3,306543,8.4,37,6.9,510467,14.0,50,9.4,480929,13.2,5,0.9,37294,1.0,6,1.1,44389,1.2,9,1.7,114826,3.1,32,6.0,304176,8.3,16,3.0,122177,3.3,4,0.8,37208,1.0,533,100.0,3656666,100.0,
