業務用／車種,大型トラック（積載量６トン以上）搬出台数,大型トラック（積載量６トン以上）保冷機能有台数,大型トラック（積載量６トン以上）保冷機能有比率（％）,中型トラック（積載量４～６トン未満）搬出台数,中型トラック（積載量４～６トン未満）保冷機能有台数,中型トラック（積載量４～６トン未満）保冷機能有比率（％）,小型トラック（積載量２～４トン未満）搬出台数,小型トラック（積載量２～４トン未満）保冷機能有台数,小型トラック（積載量２～４トン未満）保冷機能有比率（％）,積載量２トン未満の小型トラック搬出台数,積載量２トン未満の小型トラック保冷機能有台数,積載量２トン未満の小型トラック保冷機能有比率（％）,軽自動車（貨物用）搬出台数,軽自動車（貨物用）保冷機能有台数,軽自動車（貨物用）保冷機能有比率（％）,ライトバン・ワゴン車搬出台数,ライトバン・ワゴン車保冷機能有台数,ライトバン・ワゴン車保冷機能有比率（％）,乗用車搬出台数,乗用車保冷機能有台数,乗用車保冷機能有比率（％）
専門小売店,0,0,-,8,6,75.0,25,13,52.0,17,11,64.7,56,17,30.4,55,1,1.8,19,0,0.0
食料品等中心店,0,0,-,3,3,100.0,3,1,33.3,4,2,50.0,5,0,0.0,4,0,0.0,1,0,0.0
コンビニエンスストア,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,2,0,0.0,1,0,0.0
食料品スーパー,0,0,-,7,4,57.1,27,18,66.7,12,10,83.3,11,4,36.4,4,0,0.0,5,0,0.0
総合スーパー,1,0,0.0,0,0,-,9,7,77.8,0,0,-,0,0,-,1,1,100.0,2,0,0.0
百貨店,0,0,-,1,1,100.0,1,0,0.0,0,0,-,0,0,-,0,0,-,0,0,-
業務用,0,0,-,1,1,100.0,5,3,60.0,3,3,100.0,10,0,0.0,65,5,7.7,45,0,0.0
加工業者,0,0,-,3,1,33.3,1,0,0.0,1,1,100.0,0,0,-,2,0,0.0,0,0,-
問屋・納入業者,0,0,-,21,16,76.2,6,5,83.3,1,1,100.0,1,1,100.0,3,0,0.0,0,0,-
都内の中央卸売市場,0,0,-,5,3,60.0,5,4,80.0,1,0,0.0,0,0,-,0,0,-,0,0,-
都内の地方卸売市場,0,0,-,1,1,100.0,5,4,80.0,0,0,-,1,1,100.0,0,0,-,0,0,-
都外の中央卸売市場,0,0,-,3,3,100.0,2,2,100.0,0,0,-,0,0,-,0,0,-,1,0,0.0
都外の地方卸売市場,0,0,-,19,18,94.7,15,11,73.3,9,7,77.8,3,3,100.0,0,0,-,1,0,0.0
その他,0,0,-,1,0,0.0,4,3,75.0,0,0,-,3,1,33.3,13,0,0.0,14,1,7.1
不明,0,0,-,0,0,-,2,1,50.0,0,0,-,2,0,0.0,3,0,0.0,1,0,0.0
計,1,0,0.0,73,57,78.1,110,72,65.5,48,35,72.9,92,27,29.3,152,7,4.6,90,1,1.1
