市場,年,売上総利益率(％),経常利益率(％),自己資本比率(％),借入金比率(％)
全体,26,17.34,0.55,22.04,43.85
全体,27,17.01,0.42,22.33,42.75
北足立市場,26,20.20,-0.29,-4.56,41.56
北足立市場,27,21.48,0.74,9.29,38.08
大田市場,26,14.68,0.24,27.45,31.94
大田市場,27,14.42,0.33,26.72,31.10
板橋市場,26,29.68,1.04,1.07,83.13
板橋市場,27,29.81,1.93,3.42,78.87
葛西市場,26,18.27,0.03,26.11,31.00
葛西市場,27,17.33,-0.58,24.98,30.29
世田谷市場,26,17.57,1.58,34.81,36.48
世田谷市場,27,16.61,0.14,33.86,34.65
