事項,27年度,26年度,前期比(％)
総取扱金額（売上高）(万円),55835679,53072296,105.21
卸売業務数量(トン),2004276,2058588,97.36
卸売業務金額(万円),53094421,50279208,105.60
卸売業務受託物品数量(トン),1268849,1296821,97.84
卸売業務受託物品金額(万円),34431789,32571925,105.71
卸売業務買付物品数量(トン),735427,761767,96.54
卸売業務買付物品金額(万円),18662632,17707283,105.40
兼業業務金額(万円),2741258,2793088,98.14
売上総利益(万円),3873400,3646670,106.22
受託販売手数料(万円),2792144,2639709,105.77
買付販売利益(万円),808420,737969,109.55
兼業業務利益(万円),272836,268992,101.43
売上総利益率(％),6.94,6.87,
販売費及び一般管理費(万円),3593146,3452927,104.06
営業利益(万円),280255,193743,144.65
営業利益率(％),0.50,0.37,
経常利益(万円),366256,266626,137.37
経常利益率(％),0.66,0.50,
