年度,23区,多摩,都外,備考
S45,79.1,0.9,20.0,
S48,70.8,2.7,26.1,
S51,71.1,2.3,26.1,
S54,74.5,2.9,22.2,
S58,78.2,2.6,19.2,
S61,68.2,1.2,30.6,
H01,65.2,3.2,31.6,
H04,73.2,3.6,23.2,
H07,64.1,4.1,32.2,
H10,67.7,0.9,31.1,
H13,59.6,1.8,39.0,
H16,56.4,3.4,39.8,
H21,42.5,0.5,55.3,
,,,,単位：％
