地域,合計搬出量,合計搬出量構成比（％）,合計台(人)数,合計台(人)数成比（％）,専門小売店搬出量,専門小売店構成比（％）,専門小売店台(人)数,専門小売店台(人)数成比（％）,食料品等中心店搬出量,食料品等中心店構成比（％）,食料品等中心店台(人)数,食料品等中心店台(人)数成比（％）,コンビニエンスストア搬出量,コンビニエンスストア構成比（％）,コンビニエンスストア台(人)数,コンビニエンスストア台(人)数成比（％）,食料品スーパー搬出量,食料品スーパー構成比（％）,食料品スーパー台(人)数,食料品スーパー台(人)数成比（％）,総合スーパー搬出量,総合スーパー構成比（％）,総合スーパー台(人)数,総合スーパー台(人)数成比（％）,百貨店搬出量,百貨店構成比（％）,百貨店台(人)数,百貨店台(人)数成比（％）,業務用搬出量,業務用構成比（％）,業務用台(人)数,業務用台(人)数成比（％）,加工業者搬出量,加工業者構成比（％）,加工業者台(人)数,加工業者台(人)数成比（％）,問屋・納入業者搬出量,問屋・納入業者構成比（％）,問屋・納入業者台(人)数,問屋・納入業者台(人)数成比（％）,都内中央卸売市場搬出量,都内中央卸売市場構成比（％）,都内中央卸売市場台(人)数,都内中央卸売市場台(人)数成比（％）,都内地方卸売市場搬出量,都内地方卸売市場構成比（％）,都内地方卸売市場台(人)数,都内地方卸売市場台(人)数成比（％）,都外中央卸売市場搬出量,都外中央卸売市場構成比（％）,都外中央卸売市場台(人)数,都外中央卸売市場台(人)数成比（％）,都外地方卸売市場搬出量,都外地方卸売市場構成比（％）,都外地方卸売市場台(人)数,都外地方卸売市場台(人)数成比（％）,その他搬出量,その他構成比（％）,その他台(人)数,その他台(人)数成比（％）,不明搬出量,不明構成比（％）,不明台(人)数,不明台(人)数成比（％）,備考,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
合計,1094553,100.0,912,100.0,304288,100.0,311,100.0,29409,100.0,56,100.0,9448,100.0,31,100.0,155216,100.0,92,100.0,98153,100.0,43,100.0,16692,100.0,13,100.0,98245,100.0,235,100.0,110143,100.0,5,100.0,51438,100.0,49,100.0,31575,100.0,16,100.0,2070,100.0,3,100.0,16517,100.0,8,100.0,138988,100.0,36,100.0,31773,100.0,5,100.0,600,100.0,9,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
都内計,590417,53.9,742,81.4,247141,81.2,278,89.4,18206,61.9,47,83.9,8417,89.1,30,96.8,94676,61.0,75,81.5,39324,40.1,22,51.2,4529,27.1,6,46.2,80217,81.6,219,93.2,426,0.4,2,40.0,25395,49.4,38,77.6,28259,89.5,13,81.3,2070,100.0,3,100.0,0,0.0,0,0.0,9492,6.8,3,8.3,31773,100.0,5,100.0,492,82.0,1,11.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23区計,510030,46.6,654,71.7,219176,72.0,245,78.8,17957,61.1,45,80.4,4620,48.9,29,93.5,88674,57.1,66,71.7,26440,26.9,18,41.9,4163,24.9,5,38.5,71113,72.4,199,84.7,426,0.4,2,40.0,16524,32.1,25,51.0,28259,89.5,13,81.3,411,19.9,1,33.3,0,0.0,0,0.0,0,0.0,0,0.0,31773,100.0,5,100.0,492,82.0,1,11.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
千代田区,3018,0.3,9,1.0,185,0.1,1,0.3,0,0.0,0,0.0,114,1.2,1,3.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1963,2.0,6,2.6,0,0.0,0,0.0,757,1.5,1,2.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中央区,5651,0.5,23,2.5,1167,0.4,2,0.6,355,1.2,3,5.4,114,1.2,1,3.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3261,3.3,16,6.8,0,0.0,0,0.0,754,1.5,1,2.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
港区,9226,0.8,23,2.5,1038,0.3,1,0.3,355,1.2,3,5.4,114,1.2,1,3.2,2957,1.9,3,3.3,0,0.0,0,0.0,0,0.0,0,0.0,4008,4.1,14,6.0,0,0.0,0,0.0,754,1.5,1,2.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新宿区,77512,7.1,107,11.7,31728,10.4,40,12.9,3173,10.8,8,14.3,671,7.1,2,6.5,13478,8.7,15,16.3,10783,11.0,7,16.3,1167,7.0,2,15.4,14394,14.7,29,12.3,0,0.0,0,0.0,2118,4.1,4,8.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
文京区,2104,0.2,10,1.1,0,0.0,0,0.0,0,0.0,0,0.0,160,1.7,2,6.5,253,0.2,1,1.1,0,0.0,0,0.0,0,0.0,0,0.0,1233,1.3,6,2.6,0,0.0,0,0.0,458,0.9,1,2.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
台東区,904,0.1,4,0.4,0,0.0,0,0.0,0,0.0,0,0.0,114,1.2,1,3.2,0,0.0,0,0.0,0,0.0,0,0.0,585,3.5,1,7.7,205,0.2,2,0.9,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
墨田区,3945,0.4,11,1.2,0,0.0,0,0.0,355,1.2,3,5.4,114,1.2,1,3.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2231,2.3,5,2.1,0,0.0,0,0.0,1246,2.4,2,4.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
