業務用／車種,大型トラック（積載量６トン以上）搬出台数,大型トラック（積載量６トン以上）保冷機能有台数,大型トラック（積載量６トン以上）保冷機能有比率（％）,中型トラック（積載量４～６トン未満）搬出台数,中型トラック（積載量４～６トン未満）保冷機能有台数,中型トラック（積載量４～６トン未満）保冷機能有比率（％）,小型トラック（積載量２～４トン未満）搬出台数,小型トラック（積載量２～４トン未満）保冷機能有台数,小型トラック（積載量２～４トン未満）保冷機能有比率（％）,積載量２トン未満の小型トラック搬出台数,積載量２トン未満の小型トラック保冷機能有台数,積載量２トン未満の小型トラック保冷機能有比率（％）,軽自動車（貨物用）搬出台数,軽自動車（貨物用）保冷機能有台数,軽自動車（貨物用）保冷機能有比率（％）,ライトバン・ワゴン車搬出台数,ライトバン・ワゴン車保冷機能有台数,ライトバン・ワゴン車保冷機能有比率（％）,乗用車搬出台数,乗用車保冷機能有台数,乗用車保冷機能有比率（％）
専門小売店,2,2,100.0,19,3,15.8,90,16,17.8,39,1,2.6,51,5,9.8,121,6,5.0,8,1,12.5
食料品等中心店,0,0,-,9,5,55.6,29,5,17.2,2,0,0.0,7,0,0.0,10,1,10.0,1,0,0.0
コンビニエンスストア,0,0,-,1,1,100.0,4,2,50.0,0,0,-,0,0,-,0,0,-,0,0,-
食料品スーパー,9,7,77.8,139,86,61.9,267,125,46.8,12,0,0.0,7,6,85.7,9,2,22.2,0,0,-
総合スーパー,7,2,28.6,88,26,29.5,27,16,59.3,10,1,10.0,1,0,0.0,1,0,0.0,0,0,-
百貨店,7,3,42.9,14,6,42.9,20,9,45.0,1,1,100.0,0,0,-,2,0,0.0,0,0,-
業務用,1,0,0.0,6,3,50.0,50,36,72.0,27,5,18.5,16,2,12.5,64,18,28.1,1,0,0.0
加工業者,4,1,25.0,28,1,3.6,13,8,61.5,1,1,100.0,0,0,-,7,0,0.0,0,0,-
問屋・納入業者,5,4,80.0,35,28,80.0,24,7,29.2,6,5,83.3,0,0,-,8,0,0.0,0,0,-
都内の中央卸売市場,8,8,100.0,7,3,42.9,2,1,50.0,0,0,-,1,0,0.0,2,0,0.0,0,0,-
都内の地方卸売市場,3,2,66.7,9,7,77.8,2,2,100.0,0,0,-,0,0,-,1,0,0.0,0,0,-
都外の中央卸売市場,6,3,50.0,7,4,57.1,3,0,0.0,1,1,100.0,0,0,-,0,0,-,0,0,-
都外の地方卸売市場,15,7,46.7,33,11,33.3,6,1,16.7,2,1,50.0,0,0,-,1,0,0.0,0,0,-
その他,6,5,83.3,6,3,50.0,31,15,48.4,3,0,0.0,1,0,0.0,3,0,0.0,1,0,0.0
不明,6,2,33.3,18,11,61.1,16,5,31.3,16,3,18.8,5,0,0.0,18,5,27.8,2,0,0.0
計,79,46,58.2,419,198,47.3,584,248,42.5,120,19,15.8,89,13,14.6,247,32,13.0,13,1,7.7
