項目,平成27年度（Ａ）(千円),平成27年度（Ａ）売上対比(％),平成26年度（Ｂ）(千円),平成26年度（Ｂ）売上対比(％),対前年度指数（Ａ/Ｂ）(％)
売上高実数受託販売金額,0,,0,－,
売上高実数買付販売金額,6002329,,5894230,,101.83
売上高実数卸売業務売上高,6002329,,5894230,,101.83
売上高実数兼業業務売上高,980354,,944240,,103.82
売上高実数売上高合計,6982683,,6838470,,102.11
売上高構成比受託販売(％),0.00,,0.00,,
売上高構成比買付販売(％),85.96,,86.19,,
売上高構成比卸売業務(％),85.96,,86.19,,
売上高構成比兼業業務(％),14.04,13.81,,,
卸売業務構成比率受託販売(％),0.00,,0.00,,
卸売業務構成比率買付販売(％),100.00,,100.00,,
売上損益受託販売手数料,0,0.00,0,0.00,
売上損益受託販売手数料率(％),,,,,
売上損益買付販売損益,631455,9.04,607264,8.88,103.98
売上損益買付販売損益率(％),10.52,,10.30,,
売上損益兼業業務損益,20130,0.29,20297,0.30,99.18
売上損益兼業業務損益率(％),2.05,,2.15,,
売上損益売上総利益,651585,9.33,627561,9.18,103.83
売上損益売上総利益率(％),9.33,,9.18,,
販売費及び一般管理費販管費計,652952,9.35,665170,9.73,98.16
販売費及び一般管理費売上高割使用料,7628,0.11,7671,0.11,99.44
販売費及び一般管理費面積割使用料,19633,0.28,19646,0.29,99.93
販売費及び一般管理費出荷奨励金,0,0.00,0,0.00,
販売費及び一般管理費完納奨励金,7084,0.10,6768,0.10,104.67
販売費及び一般管理費役員報酬,44469,0.64,53660,0.78,82.87
販売費及び一般管理費従業員給料手当,262780,3.76,232816,3.40,112.87
販売費及び一般管理費福利厚生費,38084,0.55,10437,0.15,364.89
販売費及び一般管理費退職給与金,6222,0.09,893,0.01,696.75
販売費及び一般管理費退職給付引当金繰入,4306,0.06,0,0.00,
販売費及び一般管理費役員賞与,1300,0.02,2500,0.04,52.00
販売費及び一般管理費その他人件費,36256,0.52,33194,0.49,109.22
販売費及び一般管理費（人件費等）,393417,5.63,333500,4.88,117.97
販売費及び一般管理費受託品事故損,0,0.00,0,0.00,
販売費及び一般管理費交際費,7628,0.11,10707,0.16,71.24
販売費及び一般管理費公租公課,20808,0.30,18345,0.27,113.43
販売費及び一般管理費その他,196754,2.82,268533,3.93,73.27
営業利益,-1367,-0.02,-37609,-0.55,
営業外収益受取利息及び配当金,687,0.01,700,0.01,98.14
営業外収益その他,14994,0.21,34381,0.50,43.61
営業外収益計,15681,0.22,35081,0.51,44.70
営業外費用支払利息及び割引料,1103,0.02,1053,0.02,104.75
営業外費用その他,5470,0.08,280,0.00,1953.57
営業外費用計,6573,0.09,1333,0.02,493.10
経常利益,7741,0.11,-3861,-0.06,
特別利益,140,0.00,13110,0.19,1.07
特別損失,9605,0.14,7080,0.10,135.66
税引前当期利益,-1724,-0.02,2169,0.03,
法人税等,478,0.01,1029,0.02,46.45
法人税等調整額,0,0.00,0,0.00,
当期純利益,-2202,-0.03,1140,0.02,
