市場,自己資本比率(％),借入金比率(％)
全体,38.7,37.3
築地市場,25.1,51.8
大田市場,41.3,33.6
豊島市場,42.8,22.5
淀橋市場,23.8,46.8
板橋市場,38.0,32.8
世田谷市場,2.9,69.9
北足立市場,58.4,28.0
多摩NT市場,16.8,39.1
葛西市場,45.8,31.3
