区分,総数,平均価格,築地市場,足立市場,大田市場,構成比率総計比(％),構成比率種別比(％),構成比率部類別比(％)
総数数量(kg),434290441,,409866591,16831169,7592681,100.0,,
総数金額(円),454698901227,1047,429211681478,16941729291,8545490458,100.0,,
鮮魚数量(kg),148631488,,142798369,3852992,1980127,34.2,100.0,
鮮魚金額(円),157211514389,1058,149939352541,4213649567,3058512281,34.6,100.0,
まぐろ類総数数量(kg),10600914,,10020712,353465,226737,2.4,7.1,100.0
まぐろ類総数金額(円),23894274349,2254,22453097966,864645817,576530566,5.3,15.2,100.0
まぐろ類まぐろ（国内）数量(kg),4113389,,3867742,142692,102955,0.9,2.8,38.8
まぐろ類まぐろ（国内）金額(円),13565922314,3298,12794077995,468215251,303629068,3.0,8.6,56.8
まぐろ類まぐろ（輸入）数量(kg),1632257,,1451331,100866,80060,0.4,1.1,15.4
まぐろ類まぐろ（輸入）金額(円),4240569911,2598,3788227532,240121972,212220407,0.9,2.7,17.7
まぐろ類めじ数量(kg),957010,,929458,24213,3339,0.2,0.6,9.0
まぐろ類めじ金額(円),968371707,1012,940760790,23481883,4129034,0.2,0.6,4.1
まぐろ類きわだ（国内）数量(kg),1217300,,1191179,10622,15499,0.3,0.8,11.5
まぐろ類きわだ（国内）金額(円),1085120024,891,1061170091,9810340,14139593,0.2,0.7,4.5
まぐろ類きわだ（輸入）数量(kg),4625,,4225,40,360,0.0,0.0,0.0
まぐろ類きわだ（輸入）金額(円),6383702,1380,5684811,47520,651371,0.0,0.0,0.0
まぐろ類きめじ数量(kg),277031,,270627,5991,413,0.1,0.2,2.6
まぐろ類きめじ金額(円),137941718,498,135115381,2580588,245749,0.0,0.1,0.6
まぐろ類めばち（国内）数量(kg),733794,,690982,36447,6365,0.2,0.5,6.9
まぐろ類めばち（国内）金額(円),1574952261,2146,1489311823,72320935,13319503,0.3,1.0,6.6
まぐろ類めばち（輸入）数量(kg),323406,,320328,2646,432,0.1,0.2,3.1
まぐろ類めばち（輸入）金額(円),571193461,1766,564566406,5208500,1418555,0.1,0.4,2.4
まぐろ類だるま数量(kg),210509,,206184,2614,1711,0.0,0.1,2.0
まぐろ類だるま金額(円),212069568,1007,209903407,1128987,1037174,0.0,0.1,0.9
まぐろ類びんなが数量(kg),535872,,524658,3186,8028,0.1,0.4,5.1
まぐろ類びんなが金額(円),376640546,703,364849611,1965805,9825130,0.1,0.2,1.6
まぐろ類印度まぐろ国内数量(kg),772,,750,0,22,0.0,0.0,0.0
まぐろ類印度まぐろ国内金額(円),2439863,3160,2381370,0,58493,0.0,0.0,0.0
まぐろ類印度まぐろ（輸入）数量(kg),594949,,563248,24148,7553,0.1,0.4,5.6
まぐろ類印度まぐろ（輸入）金額(円),1152669274,1937,1097048749,39764036,15856489,0.3,0.7,4.8
かじき類総数数量(kg),1449091,,1397295,34720,17076,0.3,1.0,100.0
かじき類総数金額(円),2241807831,1547,2176194765,35247304,30365762,0.5,1.4,100.0
かじき類まかじき数量(kg),100054,,99062,830,162,0.0,0.1,6.9
かじき類まかじき金額(円),114040879,1140,112915344,860324,265211,0.0,0.1,5.1
かじき類めかじき数量(kg),1338519,,1287818,33836,16865,0.3,0.9,92.4
かじき類めかじき金額(円),2121640696,1585,2057235073,34360412,30045211,0.5,1.3,94.6
かじき類白皮かじき数量(kg),280,,241,0,39,0.0,0.0,0.0
かじき類白皮かじき金額(円),111895,400,63899,0,47996,0.0,0.0,0.0
かじき類黒皮かじき数量(kg),5925,,5871,54,0,0.0,0.0,0.4
かじき類黒皮かじき金額(円),3499128,591,3472560,26568,0,0.0,0.0,0.2
かじき類その他かじき数量(kg),4313,,4303,0,10,0.0,0.0,0.3
かじき類その他かじき金額(円),2515233,583,2507889,0,7344,0.0,0.0,0.1
かつお類総数数量(kg),8492375,,8124791,309300,58284,2.0,5.7,100.0
かつお類総数金額(円),5535604552,652,5289094472,206247563,40262517,1.2,3.5,100.0
かつお類かつお数量(kg),8458939,,8093451,307950,57538,1.9,5.7,99.6
かつお類かつお金額(円),5518909032,652,5274285640,205392548,39230844,1.2,3.5,99.7
かつお類そうだかつお数量(kg),16645,,16065,531,49,0.0,0.0,0.2
かつお類そうだかつお金額(円),3352311,201,3180883,141091,30337,0.0,0.0,0.1
かつお類すまかつお数量(kg),9371,,8697,331,343,0.0,0.0,0.1
かつお類すまかつお金額(円),8937507,954,8029343,311055,597109,0.0,0.0,0.2
かつお類はかつお数量(kg),7420,,6578,488,354,0.0,0.0,0.1
かつお類はかつお金額(円),4405702,594,3598606,402869,404227,0.0,0.0,0.1
ぶり類総数数量(kg),29964543,,28785514,662517,516512,6.9,20.2,100.0
ぶり類総数金額(円),19456425616,649,18516364431,454059417,486001768,4.3,12.4,100.0
ぶり類ぶり数量(kg),4491738,,4381790,85890,24058,1.0,3.0,15.0
ぶり類ぶり金額(円),3203501796,713,3131646478,56749858,15105460,0.7,2.0,16.5
ぶり類わらさ数量(kg),10552511,,10394186,111821,46504,2.4,7.1,35.2
ぶり類わらさ金額(円),3561920068,338,3505943470,36999362,18977236,0.8,2.3,18.3
ぶり類いなだ数量(kg),3963980,,3906119,41624,16237,0.9,2.7,13.2
ぶり類いなだ金額(円),1188209416,300,1169830962,12976883,5401571,0.3,0.8,6.1
ぶり類わかし数量(kg),64581,,60003,3814,764,0.0,0.0,0.2
ぶり類わかし金額(円),16697067,259,15580506,887079,229482,0.0,0.0,0.1
ぶり類はまち（養殖）数量(kg),8305191,,7527111,384568,393512,1.9,5.6,27.7
ぶり類はまち（養殖）金額(円),8011696263,965,7314382562,306521190,390792511,1.8,5.1,41.2
ぶり類ひらまさ数量(kg),369382,,354407,12534,2441,0.1,0.2,1.2
ぶり類ひらまさ金額(円),303872150,823,290326734,10902983,2642433,0.1,0.2,1.6
ぶり類かんぱち（天然）数量(kg),218166,,208554,6823,2789,0.1,0.1,0.7
ぶり類かんぱち（天然）金額(円),252492368,1157,240463667,9040923,2987778,0.1,0.2,1.3
ぶり類かんぱち（養殖）数量(kg),1998994,,1953344,15443,30207,0.5,1.3,6.7
ぶり類かんぱち（養殖）金額(円),2918036488,1460,2848190052,19981139,49865297,0.6,1.9,15.0
あじ類総数数量(kg),15588284,,15205669,298300,84315,3.6,10.5,100.0
あじ類総数金額(円),8955736114,575,8711861764,182163242,61711108,2.0,5.7,100.0
あじ類まあじ数量(kg),14775582,,14411748,284073,79761,3.4,9.9,94.8
あじ類まあじ金額(円),8209546683,556,7988322109,164096066,57128508,1.8,5.2,91.7
あじ類むろあじ数量(kg),55167,,54789,322,56,0.0,0.0,0.4
あじ類むろあじ金額(円),13285029,241,13089329,182898,12802,0.0,0.0,0.1
あじ類しまあじ（国内）数量(kg),293683,,283740,5896,4047,0.1,0.2,1.9
あじ類しまあじ（国内）金額(円),568667892,1936,552471729,11777670,4418493,0.1,0.4,6.3
あじ類しまあじ（輸入）数量(kg),63,,63,0,0,0.0,0.0,0.0
あじ類しまあじ（輸入）金額(円),126842,2013,126842,0,0,0.0,0.0,0.0
あじ類あおあじ数量(kg),212242,,210989,1036,217,0.0,0.1,1.4
あじ類あおあじ金額(円),65917193,311,65184378,644003,88812,0.0,0.0,0.7
あじ類その他あじ数量(kg),251547,,244340,6973,234,0.1,0.2,1.6
あじ類その他あじ金額(円),98192475,390,92667377,5462605,62493,0.0,0.1,1.1
さわら類総数数量(kg),2171090,,2100272,55582,15236,0.5,1.5,100.0
さわら類総数金額(円),2276999934,1049,2207072988,52130897,17796049,0.5,1.4,100.0
さわら類さごち数量(kg),547664,,526911,16520,4233,0.1,0.4,25.2
