,合計搬出量,合計搬出量構成比（％）,合計台(人)数,合計台(人)数成比（％）,専門小売店搬出量,専門小売店構成比（％）,専門小売店台(人)数,専門小売店台(人)数成比（％）,食料品等中心店搬出量,食料品等中心店構成比（％）,食料品等中心店台(人)数,食料品等中心店台(人)数成比（％）,コンビニエンスストア搬出量,コンビニエンスストア構成比（％）,コンビニエンスストア台(人)数,コンビニエンスストア台(人)数成比（％）,食料品スーパー搬出量,食料品スーパー構成比（％）,食料品スーパー台(人)数,食料品スーパー台(人)数成比（％）,総合スーパー搬出量,総合スーパー構成比（％）,総合スーパー台(人)数,総合スーパー台(人)数成比（％）,百貨店搬出量,百貨店構成比（％）,百貨店台(人)数,百貨店台(人)数成比（％）,業務用搬出量,業務用構成比（％）,業務用台(人)数,業務用台(人)数成比（％）,加工業者搬出量,加工業者構成比（％）,加工業者台(人)数,加工業者台(人)数成比（％）,問屋・納入業者搬出量,問屋・納入業者構成比（％）,問屋・納入業者台(人)数,問屋・納入業者台(人)数成比（％）,都内中央卸売市場搬出量,都内中央卸売市場構成比（％）,都内中央卸売市場台(人)数,都内中央卸売市場台(人)数成比（％）,都内地方卸売市場搬出量,都内地方卸売市場構成比（％）,都内地方卸売市場台(人)数,都内地方卸売市場台(人)数成比（％）,都外中央卸売市場搬出量,都外中央卸売市場構成比（％）,都外中央卸売市場台(人)数,都外中央卸売市場台(人)数成比（％）,都外地方卸売市場搬出量,都外地方卸売市場構成比（％）,都外地方卸売市場台(人)数,都外地方卸売市場台(人)数成比（％）,その他搬出量,その他構成比（％）,その他台(人)数,その他台(人)数成比（％）,不明搬出量,不明構成比（％）,不明台(人)数,不明台(人)数成比（％）,備考
合計,2564983,100.0,4451,100.0,356120,100.0,895,100.0,76341,100.0,283,100.0,4169,100.0,8,100.0,360616,100.0,509,100.0,190845,100.0,198,100.0,82262,100.0,176,100.0,248319,100.0,1446,100.0,42533,100.0,65,100.0,117323,100.0,200,100.0,87808,100.0,57,100.0,35014,100.0,42,100.0,342731,100.0,117,100.0,261895,100.0,159,100.0,335718,100.0,238,100.0,23290,100.0,58,100.0,
都内計,1055788,41.2,3211,72.1,173330,48.7,699,78.1,52250,68.4,242,85.5,2522,60.5,7,87.5,167191,46.4,340,66.8,82593,43.3,113,57.1,46165,56.1,126,71.6,165128,66.5,1233,85.3,13860,32.6,47,72.3,46780,39.9,119,59.5,79123,90.1,52,91.2,31382,89.6,38,90.5,2196,0.6,2,1.7,8257,3.2,9,5.7,175891,52.4,154,64.7,9119,39.2,30,51.7,
23区計,886528,34.6,2889,64.9,146927,41.3,624,69.7,41035,53.8,220,77.7,1461,35.0,5,62.5,139486,38.7,295,58.0,49241,25.8,83,41.9,35139,42.7,106,60.2,145758,58.7,1157,80.0,13662,32.1,42,64.6,38924,33.2,104,52.0,78025,88.9,51,89.5,21106,60.3,21,50.0,1098,0.3,1,0.9,6737,2.6,5,3.1,161609,48.1,148,62.2,6319,27.1,27,46.6,
千代田区,15599,0.6,145,3.3,6563,1.8,28,3.1,539,0.7,11,3.9,0,0.0,0,0.0,486,0.1,11,2.2,371,0.2,3,1.5,254,0.3,4,2.3,5322,2.1,71,4.9,20,0.0,1,1.5,1048,0.9,6,3.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,995,0.3,10,4.2,0,0.0,0,0.0,
中央区,135260,5.3,322,7.2,5935,1.7,38,4.2,2482,3.3,10,3.5,0,0.0,0,0.0,8728,2.4,12,2.4,0,0.0,0,0.0,6862,8.3,6,3.4,21056,8.5,165,11.4,1540,3.6,5,7.7,19349,16.5,31,15.5,33659,38.3,21,36.8,5,0.0,1,2.4,0,0.0,0,0.0,3294,1.3,1,0.6,31899,9.5,28,11.8,450,1.9,4,6.9,
港区,36029,1.4,196,4.4,2457,0.7,20,2.2,3277,4.3,9,3.2,0,0.0,0,0.0,11431,3.2,17,3.3,0,0.0,0,0.0,760,0.9,6,3.4,16341,6.6,132,9.1,0,0.0,0,0.0,756,0.6,9,4.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,975,0.4,1,0.6,27,0.0,1,0.4,5,0.0,1,1.7,
新宿区,28000,1.1,158,3.5,4936,1.4,28,3.1,1025,1.3,12,4.2,0,0.0,0,0.0,3114,0.9,16,3.1,1116,0.6,3,1.5,6762,8.2,11,6.3,9364,3.8,76,5.3,110,0.3,1,1.5,1259,1.1,7,3.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,225,0.1,2,0.8,90,0.4,2,3.4,
文京区,9900,0.4,89,2.0,1606,0.5,21,2.3,2206,2.9,11,3.9,0,0.0,0,0.0,514,0.1,9,1.8,73,0.0,3,1.5,284,0.3,4,2.3,3751,1.5,32,2.2,1149,2.7,3,4.6,55,0.0,2,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,262,0.1,4,1.7,0,0.0,0,0.0,
台東区,39962,1.6,123,2.8,6621,1.9,27,3.0,3532,4.6,13,4.6,6,0.2,1,12.5,13332,3.7,15,2.9,3096,1.6,3,1.5,1153,1.4,3,1.7,7738,3.1,51,3.5,11,0.0,1,1.5,2068,1.8,6,3.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2196,0.8,1,0.6,110,0.0,1,0.4,99,0.4,1,1.7,
墨田区,11469,0.4,69,1.6,2598,0.7,15,1.7,827,1.1,3,1.1,0,0.0,0,0.0,2710,0.8,5,1.0,2861,1.5,8,4.0,604,0.7,2,1.1,1015,0.4,30,2.1,569,1.3,2,3.1,284,0.2,4,2.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,
