業務用／車種,大型トラック（積載量６トン以上）搬出台数,大型トラック（積載量６トン以上）保冷機能有台数,大型トラック（積載量６トン以上）保冷機能有比率（％）,中型トラック（積載量４～６トン未満）搬出台数,中型トラック（積載量４～６トン未満）保冷機能有台数,中型トラック（積載量４～６トン未満）保冷機能有比率（％）,小型トラック（積載量２～４トン未満）搬出台数,小型トラック（積載量２～４トン未満）保冷機能有台数,小型トラック（積載量２～４トン未満）保冷機能有比率（％）,積載量２トン未満の小型トラック搬出台数,積載量２トン未満の小型トラック保冷機能有台数,積載量２トン未満の小型トラック保冷機能有比率（％）,軽自動車（貨物用）搬出台数,軽自動車（貨物用）保冷機能有台数,軽自動車（貨物用）保冷機能有比率（％）,ライトバン・ワゴン車搬出台数,ライトバン・ワゴン車保冷機能有台数,ライトバン・ワゴン車保冷機能有比率（％）,乗用車搬出台数,乗用車保冷機能有台数,乗用車保冷機能有比率（％）
専門小売店,3,0,0.0,11,4,36.4,62,3,4.8,57,2,3.5,48,0,0.0,103,10,9.7,3,0,0.0
食料品等中心店,1,0,0.0,1,1,100.0,7,1,14.3,7,1,14.3,6,0,0.0,14,1,7.1,0,0,-
コンビニエンスストア,1,0,0.0,1,0,0.0,1,0,0.0,2,1,50.0,0,0,-,2,0,0.0,0,0,-
食料品スーパー,6,4,66.7,10,2,20.0,34,6,17.6,15,4,26.7,3,0,0.0,12,0,0.0,0,0,-
総合スーパー,5,4,80.0,16,11,68.8,4,1,25.0,18,1,5.6,0,0,-,0,0,-,0,0,-
百貨店,1,1,100.0,6,5,83.3,2,0,0.0,1,1,100.0,1,0,0.0,0,0,-,0,0,-
業務用,5,1,20.0,5,1,20.0,19,3,15.8,23,6,26.1,19,1,5.3,37,2,5.4,0,0,-
加工業者,2,0,0.0,1,1,100.0,0,0,-,0,0,-,0,0,-,2,1,50.0,0,0,-
問屋・納入業者,2,1,50.0,4,2,50.0,13,8,61.5,4,0,0.0,4,0,0.0,3,0,0.0,0,0,-
都内の中央卸売市場,0,0,-,3,0,0.0,8,0,0.0,2,0,0.0,0,0,-,2,1,50.0,0,0,-
都内の地方卸売市場,0,0,-,1,0,0.0,0,0,-,2,0,0.0,0,0,-,0,0,-,0,0,-
都外の中央卸売市場,3,1,33.3,2,0,0.0,3,1,33.3,0,0,-,0,0,-,0,0,-,0,0,-
都外の地方卸売市場,9,5,55.6,19,10,52.6,5,1,20.0,0,0,-,0,0,-,0,0,-,0,0,-
その他,0,0,-,5,5,100.0,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-
不明,1,0,0.0,1,0,0.0,2,0,0.0,2,0,0.0,1,0,0.0,2,0,0.0,0,0,-
計,39,17,43.6,86,42,48.8,160,24,15.0,133,16,12.0,82,1,1.2,177,15,8.5,3,0,0.0
