廃棄物,東京都排出分（排出量）（kg）,東京都排出分（割合）（％）,業界排出量（kg）,計（kg）
一般廃棄物可燃ごみ,7263,7.7,87603,94866
一般廃棄物木製パレット,20800,37.3,35030,55830
一般廃棄物小計,28063,18.6,122633,150696
産業廃棄物不燃ごみ,4632,19.0,19738,24370
産業廃棄物プラスチック製パレット,183,100.0,0,183
産業廃棄物発泡スチロール,514,1.5,34634,35148
産業廃棄物小計,5329,8.9,54372,59701
合計,33392,15.9,177005,210397
