業務用／車種,大型トラック（積載量６トン以上）搬出台数,大型トラック（積載量６トン以上）保冷機能有台数,大型トラック（積載量６トン以上）保冷機能有比率（％）,中型トラック（積載量４～６トン未満）搬出台数,中型トラック（積載量４～６トン未満）保冷機能有台数,中型トラック（積載量４～６トン未満）保冷機能有比率（％）,小型トラック（積載量２～４トン未満）搬出台数,小型トラック（積載量２～４トン未満）保冷機能有台数,小型トラック（積載量２～４トン未満）保冷機能有比率（％）,積載量２トン未満の小型トラック搬出台数,積載量２トン未満の小型トラック保冷機能有台数,積載量２トン未満の小型トラック保冷機能有比率（％）,軽自動車（貨物用）搬出台数,軽自動車（貨物用）保冷機能有台数,軽自動車（貨物用）保冷機能有比率（％）,ライトバン・ワゴン車搬出台数,ライトバン・ワゴン車保冷機能有台数,ライトバン・ワゴン車保冷機能有比率（％）,乗用車搬出台数,乗用車保冷機能有台数,乗用車保冷機能有比率（％）
専門小売店,2,1,50.0,60,14,23.3,150,21,14.0,135,5,3.7,228,9,3.9,723,30,4.1,101,1,1.0
食料品等中心店,0,0,-,1,0,0.0,1,0,0.0,2,1,50.0,1,0,0.0,8,0,0.0,0,0,-
コンビニエンスストア,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-
食料品スーパー,0,0,-,6,2,33.3,7,1,14.3,3,0,0.0,1,0,0.0,4,0,0.0,0,0,-
総合スーパー,1,0,0.0,8,3,37.5,4,1,25.0,4,0,0.0,0,0,-,7,2,28.6,0,0,-
百貨店,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,2,0,0.0,0,0,-
業務用,2,2,100.0,22,14,63.6,41,21,51.2,16,1,6.3,12,2,16.7,35,6,17.1,13,0,0.0
加工業者,4,3,75.0,25,16,64.0,13,3,23.1,4,1,25.0,12,0,0.0,15,1,6.7,0,0,-
問屋・納入業者,4,2,50.0,21,8,38.1,32,6,18.8,5,0,0.0,0,0,-,9,0,0.0,0,0,-
都内の中央卸売市場,0,0,-,3,1,33.3,5,1,20.0,0,0,-,1,0,0.0,6,0,0.0,0,0,-
都内の地方卸売市場,1,0,0.0,4,2,50.0,1,0,0.0,1,0,0.0,0,0,-,0,0,-,0,0,-
都外の中央卸売市場,2,2,100.0,7,2,28.6,3,1,33.3,0,0,-,0,0,-,0,0,-,0,0,-
都外の地方卸売市場,3,2,66.7,32,12,37.5,7,0,0.0,2,0,0.0,0,0,-,3,0,0.0,1,0,0.0
その他,3,3,100.0,5,1,20.0,9,3,33.3,2,0,0.0,7,0,0.0,12,1,8.3,11,0,0.0
不明,1,0,0.0,0,0,-,2,0,0.0,0,0,-,1,0,0.0,1,0,0.0,1,0,0.0
計,23,15,65.2,194,75,38.7,275,58,21.1,174,8,4.6,263,11,4.2,825,40,4.8,127,1,0.8
