部類,市場名,1,23,24,25,26,27,元年比(業者),元年比(％)
水産物部,築地法人(社),753,632,613,597,587,559,,
水産物部,築地(業者),1080,711,687,667,651,606,-474,56.1
水産物部,築地個人(名),327,79,74,70,64,47,,
水産物部,足立法人(社),71,58,55,54,51,50,,
水産物部,足立(業者),92,62,59,57,54,53,-39,57.6
水産物部,足立個人(名),21,4,4,3,3,3,,
水産物部,大田法人(社),61,39,38,39,40,42,,
水産物部,大田(業者),64,41,41,40,41,47,-17,73.4
水産物部,大田個人(名),3,2,3,1,1,5,,
青果部,築地法人(社),120,104,104,103,103,102,,
青果部,築地(業者),127,104,104,103,103,102,-25,80.3
青果部,築地個人(名),7,0,0,0,0,0,,
青果部,大田法人(社),176,161,160,160,160,161,,
青果部,大田(業者),206,170,169,167,167,167,-39,81.1
青果部,大田個人(名),30,9,9,7,7,6,,
青果部,豊島法人(社),24,10,10,11,11,10,,
青果部,豊島(業者),28,11,10,11,11,10,-18,35.7
青果部,豊島個人(名),4,1,0,0,0,0,,
青果部,淀橋法人(社),30,17,15,15,15,15,,
青果部,淀橋(業者),32,17,15,15,15,15,-17,46.9
青果部,淀橋個人(名),2,0,0,0,0,0,,
青果部,板橋法人(社),17,10,10,10,10,10,,
青果部,板橋(業者),17,10,10,10,10,10,-7,58.8
青果部,板橋個人(名),0,0,0,0,0,0,,
青果部,世田谷法人(社),27,10,11,11,9,9,,
青果部,世田谷(業者),27,10,11,11,9,9,-18,33.3
青果部,世田谷個人(名),0,0,0,0,0,0,,
青果部,北足立法人(社),35,16,16,16,16,17,,
青果部,北足立(業者),35,16,16,16,16,17,-18,48.6
青果部,北足立個人(名),0,0,0,0,0,0,,
青果部,多摩ＮＴ法人(社),7,4,4,4,4,4,,
青果部,多摩ＮＴ(業者),7,4,4,4,4,4,-3,57.1
青果部,多摩ＮＴ個人(名),0,0,0,0,0,0,,
青果部,葛西法人(社),23,11,10,10,10,9,,
青果部,葛西(業者),23,11,10,10,10,9,-14,39.1
青果部,葛西個人(名),0,0,0,0,0,0,,
花き部,北足立法人(社),6,9,9,9,9,9,,
花き部,北足立(業者),6,9,9,9,9,9,3,150.0
花き部,北足立個人(名),0,0,0,0,0,0,,
花き部,大田法人(社),,19,19,19,18,18,,
花き部,大田(業者),,19,19,19,18,18,18,
花き部,大田個人(名),,0,0,0,0,0,,
花き部,板橋法人(社),,8,7,7,7,7,,
花き部,板橋(業者),,8,7,7,7,7,7,
花き部,板橋個人(名),,0,0,0,0,0,,
花き部,葛西法人(社),,7,7,7,7,7,,
花き部,葛西(業者),,7,7,7,7,7,7,
花き部,葛西個人(名),,0,0,0,0,0,,
花き部,世田谷法人(社),,6,6,6,6,6,,
花き部,世田谷(業者),,6,6,6,6,6,6,
花き部,世田谷個人(名),,0,0,0,0,0,,
食肉部,食肉法人(社),50,28,28,26,26,26,,
食肉部,食肉(業者),50,28,28,26,26,26,-24,52.0
食肉部,食肉個人(名),0,0,0,0,0,0,,
全市場法人計(社),,1400,1149,1122,1104,1089,1061,,
全市場計(業者),,1794,1244,1212,1185,1164,1122,-672,62.5
全市場個人計(名),,394,95,90,81,75,61,,
