年度,施設数,園児総数（人）,0歳総数,1歳総数,2歳総数,3歳総数,4歳以上総数,区立園数,区立園園児数,0歳区立,1歳区立,2歳区立,3歳区立,4歳以上区立,私立園数,私立園園児数,0歳私立,1歳私立,2歳私立,3歳私立,4歳以上私立
2012,30,2860,239,461,526,565,1069,22,2181,186,339,394,427,835,8,679,53,122,132,138,234
2013,31,"2,985",252,482,548,571,"1,132",22,"2,204",183,345,393,421,862,9,781,69,137,155,150,270
2014,33,"3,135",260,506,565,606,"1,198",22,"2,201",185,352,392,428,844,11,934,74,161,174,181,313
2015,36,"3,294",279,537,603,649,"1,226",22,"2,239",188,348,397,446,860,14,"1,055",91,189,206,203,366
2016,39,3613,306,566,642,703,1396,22,2279,189,352,399,449,890,17,1334,117,214,243,254,506
2017,45,3879,336,632,718,776,1417,21,2204,177,341,389,436,861,24,1675,159,291,329,340,556
2018,55,4384,400,734,825,896,1529,21,2199,178,339,390,430,862,34,2185,222,395,435,466,667
2019,73,5041,462,923,993,968,1695,20,2053,159,336,362,403,793,53,2988,303,587,631,565,902
2020,88,5667,533,1026,1124,1103,1881,17,1724,133,257,327,325,682,71,3943,400,769,797,778,1199
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
