"年度","ピア白金 定員[人]","ピア白金 入所者数[人]","フィオーレ白金 定員[人]","フィオーレ白金 入所者数[人]","はなみずき白金 定員[人]","はなみずき白金 入所者数[人]","はなみずき三田 定員[人]","はなみずき三田 入所者数[人]","定員合計[人]","入所者数合計[人]"
"2018","10","7","9","7","17","14","18","16","54","44"
"2019","10","6","9","6","17","15","18","14","54","41"
"2020","10","8","9","9","17","16","18","14","54","47"
"2021","10","8","9","9","17","16","18","18","54","51"
"2022","10","8","9","9","17","15","18","17","54","49"

"令和4年度港区行政資料集　区立高齢者集合住宅利用状況","Ver202204",,,,,,,,,
