"年月[西暦]","施設名称","施設郵便番号","施設所在地","施設方書","廃止届収受日"
"202404","ｃｌａｉｒ","107-0052","東京都港区赤坂三丁目11番14号","赤坂ベルゴ711","2024/4/5"
"202404","ｅｒｉｃａ","107-0062","東京都港区南青山二丁目27番6号","Reve南青山4階 Room b","2024/4/26"
"202405","ユティール　Ｕｔｉｌｅ","106-0032","東京都港区六本木七丁目8番11号","D.A.FRONTビル 3階","2024/5/1"
"202405","１ｄ","107-0062","東京都港区南青山五丁目4番51号","シャトー青山第一201号室","2024/5/16"
"202405","Ｖｉ　Ｂｅｌｌｅ","107-0062","東京都港区南青山二丁目27番7号","2階","2024/5/23"
"202405","ａｔｅｌｉｅｒ　ｈａｒｕｋａ六本木ヒルズ店（アトリエはるか）","106-0032","東京都港区六本木六丁目10番1号","六本木ヒルズヒルサイド 2階","2024/5/30"
"202405","アトリエはるか　エチカ表参道店","107-0061","東京都港区北青山三丁目6番12号","表参道駅構内","2024/5/30"
"202405","Ｔｉａｒａ　ｏｍｏｔｅｓａｎｄｏ（ティアラ　オモテサンドウ）","107-0062","東京都港区南青山五丁目8番11号","萬楽庵ビル1　4階","2024/5/31"
"202405","Ｐａｉｒｉｎｇ（ペアリング）","107-0061","東京都港区北青山三丁目12番7号","カプリース青山 601","2024/5/31"
"202406","ＳＴ　ｎｅｗ　ｙｏｒｋ　ｓａｌｏｎ（エスティーニューヨークサロン）","106-0047","東京都港区南麻布五丁目16番4号","村松ビル 3階","2024/6/6"
"202406","ｅｑｕｒｉ　ｍａｎｏｎ　（エクリ　マノン）","106-0045","東京都港区麻布十番一丁目5番18号","カートブラン麻布十番2階","2024/6/24"
"202407","ＦＡ　Ｈａｉｒ　ｄｒｅｓｓｉｎｇ（エフエー　ヘアー　ドレッシング）","107-0062","東京都港区南青山三丁目8番39号","西野ビル 4階","2024/7/3"
"202407","ｅｙｅ－ｒｉｓ　青山表参道店","107-0061","東京都港区北青山三丁目10番13号","FPG links OMOTESANDO 地下1階","2024/7/3"
"202407","ＲＩＲＥＧＥＲ（リルージェ）","108-0072","東京都港区白金三丁目15番16号","第2ペガサス白金 1階","2024/7/18"
"202407","十番美容室","106-0045","東京都港区麻布十番二丁目8番2号",,"2024/7/18"

"美容所廃止一覧(令和6年7月31日現在)","Ver202407",,,,
