"科目","金額[百万円]"
"年度[西暦]","2022"
"期間（自）","20220401"
"期間（至）","20230331"
"業務活動収支 業務支出","218229"
"業務活動収支 業務支出 業務費用支出","100763"
"業務活動収支 業務支出 業務費用支出 人件費支出","22738"
"業務活動収支 業務支出 業務費用支出 物件費等支出","64584"
"業務活動収支 業務支出 業務費用支出 支払利息支出","11"
"業務活動収支 業務支出 業務費用支出 その他の支出","13430"
"業務活動収支 業務支出 移転費用支出","117466"
"業務活動収支 業務支出 移転費用支出 補助金等支出","89837"
"業務活動収支 業務支出 移転費用支出 社会保障給付支出","26135"
"業務活動収支 業務支出 移転費用支出 その他の支出","1494"
"業務活動収支 業務収入","244085"
"業務活動収支 業務収入 税収等収入","151960"
"業務活動収支 業務収入 国都等補助金収入","68157"
"業務活動収支 業務収入 使用料及び手数料収入","10600"
"業務活動収支 業務収入 その他の収入","13368"
"業務活動収支 臨時支出","-"
"業務活動収支 臨時支出 災害復旧事業費支出","-"
"業務活動収支 臨時支出 その他の支出","-"
"業務活動収支 臨時収入","0"
"業務活動収支","25856"
"投資活動収支 投資活動支出","40838"
"投資活動収支 投資活動支出 公共施設等整備費支出","23116"
"投資活動収支 投資活動支出 基金積立金支出","14889"
"投資活動収支 投資活動支出 投資及び出資金支出","2361"
"投資活動収支 投資活動支出 貸付金支出","473"
"投資活動収支 投資活動支出 その他の支出","-"
"投資活動収支 投資活動収入","13146"
"投資活動収支 投資活動収入 国都等補助金収入","4288"
"投資活動収支 投資活動収入 基金取崩収入","6121"
"投資活動収支 投資活動収入 貸付金元金回収収入","541"
"投資活動収支 投資活動収入 資産売却収入","0"
"投資活動収支 投資活動収入 その他の収入","2195"
"投資活動収支","-27692"
"財務活動収支 財務活動支出","933"
"財務活動収支 財務活動支出 地方債等償還支出","240"
"財務活動収支 財務活動支出 その他の支出","693"
"財務活動収支 財務活動収入","517"
"財務活動収支 財務活動収入 地方債等発行収入","514"
"財務活動収支 財務活動収入 その他の収入","2"
"財務活動収支","-417"
"本年度資金収支額","-2253"
"前年度末資金残高","17182"
"比例連結割合変更に伴う差額","-100"
"本年度末資金残高","14828"
"前年度末歳計外現金残高","7664"
"本年度歳計外現金増減額","587"
"本年度末歳計外現金残高","8251"
"本年度末現金預金残高","23080"

"連結会計財務書類（資金収支計算書）(令和4年4月1日から令和5年3月31日)","Ver202303"
