年月,西暦（年）,月,1101まぐろ(100g)/円,1102あじ(100g)/円,1103いわし(100g)/円,1104かつお(100g)/円,1105かれい(100g)/円,1106さけ(100g)/円,1107さば(100g)/円,1108さんま(100g)/円,1110たい(100g)/円,1111ぶり(100g)/円,1112いか(100g)/円,1113たこ(100g)/円,1114えび(輸入品)(100g)/円,1131あさり(100g)/円,1132かき(貝)(100g)/円,1133ほたて貝(100g)/円,1201牛肉(ロース)(100g)/円,1203牛肉(輸入品)(100g)/円,1211豚肉(ロース)(100g)/円,1212豚肉(もも肉)(100g)/円,1221鶏肉(100g)/円,1241レバー(100g)/円,1401キャベツ(1kg)/円,1402ほうれんそう(1kg)/円,1403はくさい(1kg)/円,1405ねぎ(1kg)/円,1406レタス(1kg)/円,1407もやし(1kg)/円,1409ブロッコリー(1kg)/円,1410アスパラガス(1kg)/円,1411さつまいも(1kg)/円,1412じゃがいも(1kg)/円,1413さといも(1kg)/円,1414だいこん(1kg)/円,1415にんじん(1kg)/円,1416ごぼう(1kg)/円,1417たまねぎ(1kg)/円,1419れんこん(1kg)/円,1420ながいも(1kg)/円,1421しょうが(1kg)/円,1430えだまめ(1kg)/円,1432さやいんげん(1kg)/円,1433かぼちゃ(1kg)/円,1434きゅうり(1kg)/円,1435なす(1kg)/円,1436トマト(1kg)/円,1437ピーマン(1kg)/円,1438生しいたけ(1kg)/円,1442えのきだけ(1kg)/円,1443しめじ(1kg)/円,1501りんご(つがる)(1kg)/円,1502りんご(ふじ)(1kg)/円,1511みかん(1kg)/円,1513レモン(1kg)/円,1514グレープフルーツ(1kg)/円,1515オレンジ(輸入品)(1kg)/円,1516いよかん(1kg)/円,1521なし(1kg)/円,1531ぶどう(デラウェア)(1kg)/円,1532ぶどう(巨峰)(1kg)/円,1541かき(果物)(1kg)/円,1551もも(1kg)/円,1561すいか(1kg)/円,1563メロン(1kg)/円,1571いちご(1kg)/円,1572さくらんぼ(1kg)/円,1581バナナ(1kg)/円,1582キウイフルーツ(1kg)/円,9181切り花(カーネーション)(1本)/円,9182切り花(きく)(1本)/円,9183切り花(バラ)(1本)/円
平成26年８月,2014,8,390,124,112,241,164,278,110,111,567,272,100,281,317,124,...,240,837,237,263,193,129,125,151,1072,250,668,446,152,594,1518,564,326,807,173,390,915,253,1350,744,1350,1118,1813,439,529,511,558,698,1567,469,644,766,...,...,656,298,432,...,599,1126,1391,...,850,295,559,...,...,215,834,185,214,295
平成26年９月,2014,9,403,112,89,227,162,285,115,108,587,254,90,280,316,129,...,240,814,231,260,193,132,126,228,1300,318,622,871,153,862,1826,505,339,737,215,377,887,263,1089,744,1376,1286,2410,390,706,626,698,957,1807,572,826,534,...,667,664,294,427,...,464,1121,1152,...,863,...,...,...,...,220,859,186,215,306
平成26年９月上旬,2014,9上,401,109,87,243,162,...,114,127,598,264,99,...,...,...,...,...,...,...,...,...,...,...,206,1427,322,650,905,...,864,1834,...,...,...,219,...,...,267,1113,...,...,1344,2519,394,838,617,665,959,...,...,...,587,...,777,...,...,...,...,479,1088,1204,...,835,...,...,...,...,221,...,193,217,313
平成26年９月中旬,2014,9中,400,120,88,209,154,285,116,110,582,259,90,280,316,129,...,240,814,231,260,193,132,126,221,1366,341,621,864,153,815,1814,505,339,737,216,377,887,262,1114,744,1376,1319,2500,401,725,635,671,1069,1807,572,826,548,...,678,664,294,427,...,477,1117,1111,...,854,...,...,...,...,223,859,181,214,304
平成26年９月下旬,2014,9下,408,106,92,230,171,...,116,89,580,240,80,...,...,...,...,...,...,...,...,...,...,...,258,1109,291,594,842,...,908,1831,...,...,...,210,...,...,261,1041,...,...,1196,2210,373,555,625,757,843,...,...,...,468,...,547,...,...,...,...,437,1159,1142,...,900,...,...,...,...,215,...,183,215,302
平成26年10月上旬,2014,10上,407,136,90,231,198,...,125,84,597,239,91,...,...,...,469,...,...,...,...,...,...,...,238,856,229,508,421,...,772,1841,...,...,...,176,...,...,250,979,...,...,...,1991,361,522,546,707,776,...,...,...,463,...,529,...,...,...,...,498,...,1126,491,...,...,...,...,...,219,...,181,206,300
平成26年10月中旬,2014,10中,417,142,91,239,170,289,134,80,582,260,82,285,325,128,434,233,824,244,261,193,132,129,227,817,206,519,372,151,706,1771,414,321,631,172,345,878,254,978,773,1422,...,1884,385,496,535,674,749,1724,562,790,482,...,493,671,285,417,...,505,...,1132,467,...,...,...,...,...,218,825,179,204,298
銘柄改正年月,,,,,,,,,,,,H26.7,H26.1,,,,,H26.1,,,,,,,,,,,,H26.1,,H26.1,,,,,,,,,,H26.1,H26.1,H26.1,,,,,H26.1,H26.1,H26.1,H26.1,,,,,,,,,,,,,,,H26.1,H26.1,H26.1,,,,
銘柄改正年月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
銘柄改正年月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
費目名等,,,【食料（生鮮品目）】,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京の物価／平成26年10月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
７．主要品目の東京都区部小売価格,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
