年月,西暦（年）,月,総合,生鮮食品を除く総合,持家の帰属家賃を除く総合,食料,住居,持家の帰属家賃を除く住居,光熱・水道,家具・家事用品,被服及び履物,保健医療,交通・通信,教育,教養娯楽,諸雑費
平成26年3月,2014,3,99.8,99.7,100.2,99.7,98,98.1,117.6,88.9,99.3,97.8,101.6,101.2,94.1,105.4
平成26年4月,2014,4,101.7,101.7,102.6,102,98.2,98.9,119.3,91.6,103.4,99.8,103.6,103.4,97.9,107.8
平成26年5月,2014,5,102.1,102,103.1,102.2,98.2,98.9,124.5,91.5,103.2,99.7,104,103.4,97.5,107.8
平成26年6月,2014,6,101.9,102,102.8,101.5,98.1,99,124.8,91.2,102.6,99.7,103.6,103.4,97.7,107.8
平成26年7月,2014,7,101.8,102,102.8,101.5,98.3,99.4,124.5,89.9,100.1,99.7,104.7,103.4,97.7,107.7
平成26年8月,2014,8,102.1,102.1,103.1,101.9,98.2,99.2,124.2,88.9,98.8,99.6,105.3,103.4,99.5,107.9
平成26年9月,2014,9,102.3,102,103.4,103.5,98.2,99.2,123.8,89,104.5,99.8,103.8,103.4,97.6,107.9
平成26年10月,2014,10,102.2,102.2,103.2,102.2,98.2,99.2,123.2,89.4,105.4,99.8,104.1,103.4,98.6,108
前月比(％)／平成25年10月,2013,10,0.2,0.2,0.2,-0.1,-0.1,-0.2,0.1,0.3,-0.1,0.1,-0.4,0,1,1.8
前月比(％)／平成25年11月,2013,11,0,0,0,0.2,0,0,-0.6,1.2,0.8,-0.3,-0.1,0,-0.4,0.2
前月比(％)／平成25年12月,2013,12,0,-0.1,0,0.5,0,0,-0.9,0,-1.1,-0.3,0.2,0,0.3,-0.1
前月比(％)／平成26年1月,2014,1,-0.4,-0.6,-0.5,0.5,0,-0.1,-0.5,1.5,-6.4,0.1,-0.2,0,-1.8,-0.3
前月比(％)／平成26年2月,2014,2,0.1,0.1,0.1,-0.2,-0.1,-0.1,0.2,0.4,0.6,-0.2,-0.1,0.2,0.6,0.3
前月比(％)／平成26年3月,2014,3,0.4,0.5,0.5,-0.1,0,0,0.9,0.1,3.3,0.1,0.8,0.3,1.1,0.5
前月比(％)／平成26年4月,2014,4,2,2,2.4,2.4,0.2,0.8,1.5,3.1,4.1,2,2,2.2,4,2.3
前月比(％)／平成26年5月,2014,5,0.3,0.3,0.4,0.2,0,0,4.4,-0.2,-0.2,-0.1,0.4,0,-0.4,0
前月比(％)／平成26年6月,2014,6,-0.2,0,-0.2,-0.7,0,0.1,0.2,-0.3,-0.5,0.1,-0.4,0,0.2,-0.1
前月比(％)／平成26年7月,2014,7,0,0,-0.1,-0.1,0.2,0.4,-0.2,-1.4,-2.5,-0.1,1,0,0,-0.1
前月比(％)／平成26年8月,2014,8,0.3,0.2,0.3,0.5,-0.1,-0.2,-0.3,-1.1,-1.2,0,0.6,0,1.9,0.2
前月比(％)／平成26年9月,2014,9,0.2,-0.1,0.3,1.6,0,0,-0.3,0.1,5.7,0.2,-1.4,0,-2,0
前月比(％)／平成26年10月,2014,10,-0.1,0.2,-0.2,-1.3,0.1,0.1,-0.5,0.4,0.8,0,0.3,0,1,0.1
前年同月比(％)／平成25年10月,2013,10,0.6,0.3,0.9,1.4,-0.7,-0.6,4.8,-1.3,-0.4,-1,0.6,0.3,-0.1,2.4
前年同月比(％)／平成25年11月,2013,11,1,0.6,1.4,2,-0.7,-0.5,4.5,0.4,-0.3,-0.9,1.2,0.3,1.2,2.7
前年同月比(％)／平成25年12月,2013,12,1,0.7,1.4,2,-0.7,-0.5,3.8,1.1,-0.3,-0.9,1,0.3,1.5,2.9
前年同月比(％)／平成26年1月,2014,1,0.7,0.7,1.1,0.5,-0.6,-0.4,4.2,2.6,0.6,-0.8,1.1,0.3,1.3,2.8
前年同月比(％)／平成26年2月,2014,2,1.1,0.9,1.6,1.7,-0.7,-0.5,5.2,2.6,1.9,-1.1,0.7,0.6,1.7,3.3
前年同月比(％)／平成26年3月,2014,3,1.3,1,1.7,2.2,-0.6,-0.4,6.1,1.9,0.1,-1,0.9,0.9,1.8,2.7
前年同月比(％)／平成26年4月,2014,4,2.9,2.7,3.7,4.4,-0.2,0.4,6.3,4.3,2,1.1,2.9,2.8,5.1,4.8
前年同月比(％)／平成26年5月,2014,5,3.1,2.8,4,5.1,-0.2,0.6,8.7,5.1,1.7,1,3.1,2.8,4.1,4.7
前年同月比(％)／平成26年6月,2014,6,3,2.8,3.9,4.6,-0.2,0.7,7.2,5.1,1.1,1.2,3,2.8,5,4.8
前年同月比(％)／平成26年7月,2014,7,2.8,2.7,3.5,3.8,0.1,1.2,5.9,3.8,1.6,1.4,3.2,2.8,4.9,4.2
前年同月比(％)／平成26年8月,2014,8,2.8,2.7,3.5,4.2,0.1,1,5,3.6,2.9,1.4,2.6,2.8,4.6,4.9
前年同月比(％)／平成26年9月,2014,9,2.8,2.6,3.6,4.8,0,0.9,4.4,3.6,1.9,1.6,2.5,2.8,4.5,4.8
前年同月比(％)／平成26年10月,2014,10,2.5,2.5,3.2,3.4,0.1,1.1,3.8,3.8,2.9,1.5,3.2,2.8,4.6,3.1
,,,,,,,,,,,,,,,,
東京の物価／平成２６年１０月,,,,,,,,,,,,,,,,
１．東京都区部消費者物価１０大費目指数（月別）,,,,,,,,,,,,,,,,
２０１０年＝１００／(平成２２年＝１００),,,,,,,,,,,,,,,,
