"年度","あっぴぃ台場 利用者数[人]","あっぴぃ麻布 利用者数[人]","あっぴぃ港南 利用者数[人]","あっぴぃ港南四丁目 利用者数[人]","あっぴぃ新橋 利用者数[人]","あっぴぃ西麻布 利用者数[人]","あっぴぃ芝浦 利用者数[人]","あっぴぃ赤坂 利用者数[人]","あっぴぃ白金台 利用者数[人]"
"2015","6455","21490","4441","10524","6366","12384","11034",,
"2016","5846","22642","3730","10503","6233","14717","25856",,
"2017","6589","22523","4341","9990","6983","15523","26156","229",
"2018","7878","20936","3762","10822","6036","15334","31406","13058","9957"
"2019","7581","19060","3496","13826","6586","13009","28788","12983","9803"

"令和2年度港区行政資料集　子育てひろば事業実施状況","Ver202003",,,,,,,,
