"年度","戸板女子短期大学 服飾芸術科[人]","戸板女子短期大学 食物栄養科[人]","戸板女子短期大学 国際コミュ学科[人]","東京海洋大学 海洋科学部[人]","東京海洋大学 海洋資源環境学部※１[人]","東京海洋大学 海洋生命科学部※２[人]","東京海洋大学 水産専攻科[人]","東京海洋大学 大学院[人]","北里大学 薬学部[人]","北里大学 大学院[人]","慶応義塾大学 文学部[人]","慶応義塾大学 経済学部[人]","慶応義塾大学 法学部[人]","慶応義塾大学 商学部[人]","慶応義塾大学 薬学部[人]","慶応義塾大学 大学院[人]","芝浦工業大学 デザイン工学科[人]","芝浦工業大学 大学院[人]","東海大学 情報通信学部[人]","東海大学 大学院[人]","東京慈恵会医科大学 医学部[人]","東京慈恵会医科大学 大学院[人]","東洋英和女学院大学 大学院（夜間）[人]","明治学院大学 文学部[人]","明治学院大学 経済学部[人]","明治学院大学 社会学部[人]","明治学院大学 法学部[人]","明治学院大学 心理学部[人]","明治学院大学 大学院[人]","政策研究大学院大学 大学院[人]","事業構想大学院大学 大学院（夜間）[人]","テンプル大学ジャパンキャンパス 大学学部[人]","テンプル大学ジャパンキャンパス 大学院[人]"
"2014","242","319","150","1218",,,"30","509","1696","133","2596","2608","2630","2282","974","1354","310","54","1481","52","545","158","75","2067","2852","2168","2677","1124","181","420","75","644","293"
"2015","323","319","199","1204",,,"31","527","1704","138","2602","2598","2625","2237","975","1340","345","94","1458","48","557","151","87","2117","2819","2160","2650","1166","159","398","73","742","332"
"2016","369","312","239","1207",,,"36","531","1690","142","2632","2608","2671","2187","952","1300","314","99","1415","36","558","145","82","2096","2851","2126","2596","1220","141","420","68","900","301"
"2017","369","316","246","907","122","190","39","589","1383","140","2670","2602","2667","2141","970","1303","292","88","1412","45","684","149","77","2104","3013","2140","2600","1263","153","393","73","1002","314"
"2018","377","312","250","621","229","357","43","562","1395","150","2645","2547","2659","2188","965","1278","318","63","1385","62","676","175","87","2046","2850","2124","2569","1296","149","380","128","1140","327"

"平成30年度港区行政資料集　短期大学・大学・大学院大学学生数","Ver201805",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
